ParticipantName,TeamName,Position,ELO
Carlens Arcus,Angers,DEF,1525
Farid El Melali,Angers,ATT,1523
Lilian Rao-Lisoa,Angers,DEF,1523
Christian Mawissa,Monaco,DEF,1523
Antoine Joujou,Le Havre,MID,1522
Said Benrahma,Lyon,MID,1522
Antoine Mendy,Nice,DEF,1522
Étienne Youté Kinkoué,Le Havre,DEF,1521
Mohamed-Ali Cho,Nice,ATT,1521
Edon Zhegrova,Lille,ATT,1520
Junya Ito,Reims,ATT,1520
Thomas Meunier,Lille,DEF,1520
Lamine Camara,Monaco,MID,1520
Himad Abdelli,Angers,ATT,1520
Hákon Arnar Haraldsson,Lille,ATT,1519
Junior Mwanga,Le Havre,MID,1519
Geronimo Rulli,Marseille,GK,1519
Abdallah Sima,Brest,ATT,1519
Mathew Ryan,Lens,GK,1518
Félix Lemaréchal,Strasbourg,ATT,1518
Gabriel Gudmundsson,Lille,DEF,1518
Nicolas Pallois,Nantes,DEF,1516
Bafodé Diakité,Lille,DEF,1516
Amine Harit,Marseille,ATT,1516
Clement Akpa,Auxerre,DEF,1515
Kamory Doumbia,Brest,ATT,1514
Pol Lirola,Marseille,DEF,1514
Ernest Nuamah,Lyon,ATT,1514
Youssoufa Moukoko,Nice,ATT,1513
Aissa Mandi,Lille,DEF,1513
Massadio Haidara,Brest,DEF,1512
Guéla Doué,Strasbourg,DEF,1511
Paul Joly,Auxerre,MID,1510
Miha Zajc,Toulouse,MID,1509
Shavy Babicka,Toulouse,ATT,1509
Yoann Cisse,Auxerre,Code_2,1508
Irvin Cardona,St Etienne,ATT,1508
Morgan Sanson,Nice,MID,1508
Aleksandr Golovin,Monaco,ATT,1508
Nicolas Cozza,Nantes,DEF,1507
Jeremie Boga,Nice,ATT,1506
Ibrahim Salah,Brest,ATT,1506
Zinedine Ferhat,Angers,ATT,1506
Nicolás Tagliafico,Lyon,DEF,1506
Jacques Ekomié,Angers,DEF,1505
Enzo Tchato,Montpellier,DEF,1505
Jonathan Rowe,Marseille,ATT,1505
Ki-Jana Hoever,Auxerre,MID,1504
Chuba Akpom,Lille,ATT,1504
George Ilenikhena,Monaco,ATT,1503
Ludovic Ajorque,Brest,ATT,1502
Jordan Veretout,Lyon,MID,1501
Ayyoub Bouaddi,Lille,MID,1501
Kazeem Olaigbe,Rennes,ATT,1501
Folarin Balogun,Monaco,ATT,1501
Younes Lachaab,Lille,Code_3,1500
Ikechukwu Orazi,Reims,Code_3,1500
Saliou Diop,Brest,Code_3,1500
Ben Viadere,Auxerre,Code_3,1500
Lassine Sinayoko,Auxerre,ATT,1500
Jibril Othman,St Etienne,Code_3,1500
Sekou Doucoure,Nantes,Code_1,1500
Krepin Diatta,Monaco,DEF,1500
André Ayew,Le Havre,ATT,1499
Matias Fernandez-Pardo,Lille,ATT,1499
Aron Dønnum,Toulouse,MID,1499
Douglas Augusto,Nantes,MID,1499
Johann Lepenant,Nantes,MID,1499
Nhoa Sangui,Reims,DEF,1497
Anass Zaroury,Lens,ATT,1496
Justin Bourgault,Brest,DEF,1496
Samuel Amo-Ameyaw,Strasbourg,ATT,1496
Mahamadou Nagida,Rennes,DEF,1496
Henrik Meister,Rennes,ATT,1496
Lucas Mincarelli Davin,Montpellier,DEF,1496
Josué Casimir,Le Havre,ATT,1495
Amine Salama,Reims,ATT,1495
Neal Maupay,Marseille,ATT,1494
Goduine Koyalipou,Lens,ATT,1493
Mathis Amougou,St Etienne,MID,1493
Saidou Sow,Nantes,DEF,1493
Enzo Caumont,Angers,Code_2,1492
Rasmus Nicolaisen,Toulouse,DEF,1491
Jérémy Jacquet,Rennes,DEF,1491
Jean-Charles Castelletto,Nantes,DEF,1491
Louis Leroux,Nantes,MID,1491
Warren Kamanzi,Toulouse,MID,1490
Ado Onaiwu,Auxerre,ATT,1490
Bamba Dieng,Angers,ATT,1490
Dante,Nice,DEF,1490
Albert Grønbæk,Rennes,ATT,1490
Angelo Fulgini,Lens,MID,1490
André Gomes,Lille,MID,1489
Arnaud Nordin,Montpellier,ATT,1489
Moatasem Al Musrati,Monaco,MID,1488
Jordan Pefok,Reims,ATT,1488
Meschack Elia,Nantes,ATT,1488
Jota,Rennes,ATT,1488
Gift Orban,Lyon,ATT,1488
Marco Asensio,Paris Saint-Germain,ATT,1487
Florian Aye,Auxerre,ATT,1487
Pierre Lees-Melou,Brest,MID,1487
Mohamed Meite,Rennes,ATT,1487
Hamzat Ojediran,Lens,MID,1486
Duje Caleta-Car,Lyon,DEF,1486
Kelvin Amian,Nantes,DEF,1484
Rémy Cabella,Lille,ATT,1484
Marcus Regis Coco,Nantes,DEF,1483
Thiago Almada,Lyon,ATT,1483
Othmane Maamma,Montpellier,ATT,1483
Mohamed Bayo,Lille,ATT,1482
Mousa Tamari,Rennes,ATT,1482
Ngal Ayel Mukau,Lille,MID,1482
Yanis Issoufou,Montpellier,ATT,1481
Martin Satriano,Lens,ATT,1481
Yael Nandjou,Nice,DEF,1481
Kyllian Antonio,Lens,DEF,1481
Malcolm Jeng,Reims,DEF,1481
Ayman Aiki,St Etienne,ATT,1481
Alejandro Gomes Rodriguez,Lyon,ATT,1481
Logan Costa,Toulouse,DEF,1481
Lanroy Machine,Angers,ATT,1481
Lois Diony,Angers,ATT,1481
Ousmane Touré,Lille,DEF,1481
Ilyes Housni,Le Havre,ATT,1481
Oscar Perea,Strasbourg,ATT,1481
Noham Kamara,Paris Saint-Germain,DEF,1481
Thibault De Smet,Reims,DEF,1481
Warmed Omari,Lyon,DEF,1481
Presnel Kimpembe,Paris Saint-Germain,DEF,1481
Plamedi Nsingi,Nantes,ATT,1481
Yoram Zague,Paris Saint-Germain,DEF,1481
Prosper Peter,Angers,ATT,1481
Beres Owusu,St Etienne,DEF,1481
Amidou Doumbouya,Nice,DEF,1481
Victor Orakpo,Nice,ATT,1481
Bernard Nguene,Nice,ATT,1481
Christopher Operi,Le Havre,DEF,1481
Alexi Koum,Marseille,DEF,1481
Billal Brahimi,Nice,ATT,1481
Abdoul Kone,Reims,DEF,1481
Aristide Zossou,Auxerre,ATT,1481
Nordine Kandil,Strasbourg,ATT,1481
Ousmane Camara,Angers,DEF,1481
Wilfried Zaha,Lyon,ATT,1481
Martin Adeline,Reims,ATT,1481
Cédric Hountondji,Angers,DEF,1481
Kyogo Furuhashi,Rennes,ATT,1481
Teo Barisic,Lyon,DEF,1481
Mathéo Bodmer,Le Havre,ATT,1481
Gabin Capuano,Lens,ATT,1481
Ismail Jakobs,Monaco,DEF,1481
Fodé Ballo,Le Havre,DEF,1481
Arthur Desmas,Le Havre,GK,1481
Axel Gueguin,Montpellier,ATT,1481
Théo Pellenard,Auxerre,DEF,1481
Kembo Diliwidi,Lens,ATT,1481
Milos Lukovic,Strasbourg,ATT,1481
Edhy Zuliani,Toulouse,ATT,1481
Justin-Noel Kalumba,Angers,ATT,1481
Jordan Lotomba,Nice,DEF,1481
Axel Camblan,Brest,ATT,1481
Naatan Skyttä,Toulouse,ATT,1481
Niama Sissoko,Reims,ATT,1481
Rayan Fofana,Lens,ATT,1481
Reda Khadra,Reims,ATT,1481
Keyliane Abdallah,Marseille,ATT,1481
Kevin Pedro,St Etienne,DEF,1481
Simon Cara,Montpellier,ATT,1481
Kandet Diawara,Le Havre,ATT,1481
Saimon Bouabre,Monaco,ATT,1481
Ismaël Doukouré,Strasbourg,DEF,1480
Lorenz Assignon,Rennes,MID,1480
Loic Nego,Le Havre,DEF,1478
Nabil Bentaleb,Lille,MID,1477
Lucas Beraldo,Paris Saint-Germain,DEF,1477
Aimen Moueffek,St Etienne,MID,1477
Jordan James,Rennes,MID,1477
Amar Dedic,Marseille,DEF,1476
Caleb Wiley,Strasbourg,DEF,1476
Falaye Sacko,Montpellier,DEF,1476
Takumi Minamino,Monaco,ATT,1476
Pape Diong,Strasbourg,MID,1476
Pablo Rosario,Nice,MID,1476
Thelonius Bair,Auxerre,ATT,1476
Benjamin Bourigeaud,Rennes,MID,1475
Angel Gomes,Lille,ATT,1475
Lasso Coulibaly,Auxerre,MID,1475
Noah Edjouma,Toulouse,ATT,1475
Yassin Belkhdim,Angers,MID,1475
Mathias Pereira Lage,Brest,ATT,1475
Rafik Messali,Toulouse,MID,1475
Niklas Schmidt,Toulouse,MID,1474
Ibrahim Sissoko,St Etienne,ATT,1474
Pedro Chirivella,Nantes,MID,1473
Glen Kamara,Rennes,MID,1473
Francis Coquelin,Nantes,MID,1473
Modibo Sagnan,Montpellier,DEF,1473
Nicolas Pays,Montpellier,ATT,1473
Robinio Vaz,Marseille,ATT,1473
Djylian N'Guessan,St Etienne,ATT,1473
Junior Ndiaye,Montpellier,ATT,1473
Jérémy Sebas,Strasbourg,ATT,1473
Jérémy Le Douaron,Brest,ATT,1473
Matvey Safonov,Paris Saint-Germain,GK,1473
Lucas Michal,Monaco,ATT,1473
Benjamin Old,St Etienne,ATT,1473
Andy Logbo,Le Havre,ATT,1473
Teddy Teuma,Reims,ATT,1472
Aurelio Buta,Reims,DEF,1472
Terem Moffi,Nice,ATT,1472
Hafiz Ibrahim,Reims,ATT,1471
Soungoutou Magassa,Monaco,MID,1471
Téji Savanier,Montpellier,ATT,1471
Mostafa Mohamed,Nantes,ATT,1470
Baptiste Santamaria,Rennes,MID,1469
Tino Kadewere,Nantes,ATT,1469
Amadou Koné,Reims,MID,1467
Jhoanner Chavez,Lens,MID,1466
Mohammed Salisu,Monaco,DEF,1466
Milan Skriniar,Paris Saint-Germain,DEF,1466
Ahmed Hassan Koka,Le Havre,ATT,1466
Oussama Targhalline,Le Havre,MID,1466
Ignatius Ganago,Nantes,ATT,1466
Ibrahima Niane,Angers,ATT,1466
Hiroki Sekine,Reims,DEF,1466
Joris Chotard,Montpellier,MID,1466
Jean-Philippe Gbamin,Nantes,DEF,1466
Florent Mollet,Nantes,ATT,1466
Luiz Felipe,Marseille,DEF,1466
Tiago Santos,Lille,DEF,1466
Axel Tape-Kobrissa,Paris Saint-Germain,DEF,1466
Bilal Nadir,Marseille,ATT,1466
Akor Adams,Montpellier,ATT,1466
Tom Pouilly,Lens,DEF,1466
Soumaila Coulibaly,Brest,DEF,1466
Sorba Thomas,Nantes,ATT,1466
Adryelson,Lyon,DEF,1466
Darryl Bakola,Marseille,ATT,1466
Bradley Locko,Brest,DEF,1466
Enzo Sternal,Marseille,ATT,1466
Valentin Carboni,Marseille,ATT,1466
Benjamin Bouchouari,St Etienne,MID,1466
Jeremy Agbonifo,Lens,ATT,1465
Sékou Mara,Strasbourg,ATT,1465
Randal Kolo Muani,Paris Saint-Germain,ATT,1465
Ange Martial Tia,Reims,ATT,1465
Elisha Owusu,Auxerre,MID,1465
Deiver Machado,Lens,MID,1465
Sidiki Cherif,Angers,ATT,1465
Elye Wahi,Marseille,ATT,1465
Dehmaine Tabibou,Nantes,MID,1464
