ParticipantName,TeamName,Position,ELO
Lars Ritzka,FC St. Pauli,DEF,1539
Timo Becker,Holstein Kiel,DEF,1538
Victor Okoh Boniface,Bayer 04 Leverkusen,ATT,1538
Armin Gigovic,Holstein Kiel,MID,1537
Leopold Querfeld,1. FC Union Berlin,DEF,1536
Oscar Højlund,Eintracht Frankfurt,MID,1536
Andrej Ilic,1. FC Union Berlin,ATT,1536
Kevin Akpoguma,TSG 1899 Hoffenheim,DEF,1536
Matthias Ginter,Sport-Club Freiburg,DEF,1535
Max Rosenfelder,Sport-Club Freiburg,DEF,1535
David Zec,Holstein Kiel,DEF,1535
Michael Zetterer,SV Werder Bremen,GK,1535
Oliver Baumann,TSG 1899 Hoffenheim,GK,1534
Myron Boadu,VfL Bochum 1848,ATT,1533
Philipp Sander,Borussia Mönchengladbach,MID,1533
Ivan Ordets,VfL Bochum 1848,DEF,1533
Jae-Sung Lee,1. FSV Mainz 05,ATT,1533
Alphonso Davies,Bayern München,DEF,1533
Can Uzun,Eintracht Frankfurt,ATT,1532
Adrian Beck,1. FC Heidenheim 1846,ATT,1531
Nicolas Seiwald,RB Leipzig,MID,1531
Frans Krätzig,1. FC Heidenheim 1846,DEF,1531
Benedict Hollerbach,1. FC Union Berlin,ATT,1530
Henri Koudossou,FC Augsburg,MID,1530
Lewis Holtby,Holstein Kiel,MID,1528
Arthur Theate,Eintracht Frankfurt,DEF,1528
Danilho Doekhi,1. FC Union Berlin,DEF,1527
Felix Passlack,VfL Bochum 1848,MID,1527
Castello Lukeba,RB Leipzig,DEF,1527
Niklas Stark,SV Werder Bremen,DEF,1526
Jordy Makengo,Sport-Club Freiburg,DEF,1524
Luca Netz,Borussia Mönchengladbach,DEF,1523
Maximilian Arnold,VfL Wolfsburg,MID,1522
Kaishu Sano,1. FSV Mainz 05,MID,1522
Finn Porath,Holstein Kiel,MID,1521
Maximilian Eggestein,Sport-Club Freiburg,MID,1521
Elias Saad,FC St. Pauli,ATT,1520
Tom Rothe,1. FC Union Berlin,DEF,1520
Lukas Hradecky,Bayer 04 Leverkusen,GK,1519
Keke Topp,SV Werder Bremen,ATT,1518
Marius Bülter,TSG 1899 Hoffenheim,ATT,1517
Kevin Müller,1. FC Heidenheim 1846,GK,1517
Nnamdi Collins,Eintracht Frankfurt,DEF,1517
Philipp Treu,FC St. Pauli,MID,1517
Daniel Svensson,Borussia Dortmund,MID,1516
Bernardo,VfL Bochum 1848,DEF,1516
Mattias Svanberg,VfL Wolfsburg,MID,1516
Emre Can,Borussia Dortmund,DEF,1516
Lasse Rosenboom,Holstein Kiel,MID,1516
Joakim Mæhle,VfL Wolfsburg,DEF,1516
Lukas Ullrich,Borussia Mönchengladbach,DEF,1515
Jan Schöppner,1. FC Heidenheim 1846,MID,1515
Mario Götze,Eintracht Frankfurt,ATT,1515
Alexander Prass,TSG 1899 Hoffenheim,DEF,1515
Manolis Saliakas,FC St. Pauli,MID,1514
Tuta,Eintracht Frankfurt,DEF,1514
Marko Ivezic,Holstein Kiel,DEF,1513
Kevin Kampl,RB Leipzig,MID,1513
Anthony Losilla,VfL Bochum 1848,MID,1512
Mert Kömür,FC Augsburg,ATT,1512
Phillip Tietz,FC Augsburg,ATT,1512
Kristijan Jakic,FC Augsburg,MID,1511
Stanley N'Soki,TSG 1899 Hoffenheim,DEF,1510
Ansgar Knauff,Eintracht Frankfurt,ATT,1510
David Nemeth,FC St. Pauli,DEF,1510
Arthur,Bayer 04 Leverkusen,MID,1509
Janik Haberer,1. FC Union Berlin,MID,1508
Nathan N'Goumou,Borussia Mönchengladbach,ATT,1508
Chris Führich,VfB Stuttgart,ATT,1507
Jeffrey Gouweleeuw,FC Augsburg,DEF,1507
Lutsharel Geertruida,RB Leipzig,DEF,1507
Philipp Lienhart,Sport-Club Freiburg,DEF,1505
Budu Zivzivadze,1. FC Heidenheim 1846,ATT,1504
Woo-Yeong Jeong,1. FC Union Berlin,ATT,1504
Marco Komenda,Holstein Kiel,DEF,1503
Marcel Sabitzer,Borussia Dortmund,MID,1503
Jean Bahoya,Eintracht Frankfurt,ATT,1503
Jacob Bruun Larsen,VfB Stuttgart,ATT,1503
Ikoma Lois Openda,RB Leipzig,ATT,1503
Robert Skov,1. FC Union Berlin,MID,1503
Dimitrios Giannoulis,FC Augsburg,MID,1502
El Bilal Touré,VfB Stuttgart,ATT,1502
Robin Hack,Borussia Mönchengladbach,ATT,1501
András Schäfer,1. FC Union Berlin,MID,1501
Niklas Dorsch,1. FC Heidenheim 1846,MID,1500
Viggo Gebel,RB Leipzig,Code_2,1500
Shio Fukuda,Borussia Mönchengladbach,Code_3,1500
Kevin Vogt,1. FC Union Berlin,DEF,1499
Nicolas Höfler,Sport-Club Freiburg,MID,1498
Haris Tabakovic,TSG 1899 Hoffenheim,ATT,1498
Nathan Tella,Bayer 04 Leverkusen,ATT,1496
David Raum,RB Leipzig,DEF,1496
Jonas Hofmann,Bayer 04 Leverkusen,ATT,1495
Lukas Daschner,VfL Bochum 1848,MID,1495
Lovro Majer,VfL Wolfsburg,ATT,1495
Atakan Karazor,VfB Stuttgart,MID,1494
Joao Palhinha,Bayern München,MID,1493
Robert Andrich,Bayer 04 Leverkusen,MID,1493
Maximilian Breunig,1. FC Heidenheim 1846,ATT,1492
Gift Orban,TSG 1899 Hoffenheim,ATT,1492
Jeff Chabot,VfB Stuttgart,DEF,1492
Emiliano Buendia,Bayer 04 Leverkusen,ATT,1492
Donyell Malen,Borussia Dortmund,ATT,1492
Dayot Upamecano,Bayern München,DEF,1491
Ellyes Skhiri,Eintracht Frankfurt,MID,1490
Jacob Bruun Larsen,TSG 1899 Hoffenheim,ATT,1490
André Silva,RB Leipzig,ATT,1490
Justin Njinmah,SV Werder Bremen,ATT,1490
Fabian Rieder,VfB Stuttgart,ATT,1489
John Tolkin,Holstein Kiel,MID,1489
Kevin Stöger,Borussia Mönchengladbach,ATT,1488
Alexander Nübel,VfB Stuttgart,GK,1488
Andreas Skov Olsen,VfL Wolfsburg,ATT,1487
Martin Terrier,Bayer 04 Leverkusen,ATT,1487
Armindo Sieb,1. FSV Mainz 05,ATT,1487
Eren Dinkci,Sport-Club Freiburg,ATT,1487
Mergim Berisha,TSG 1899 Hoffenheim,ATT,1487
Silvan Widmer,1. FSV Mainz 05,MID,1486
Phil Harres,Holstein Kiel,ATT,1486
Michy Batshuayi,Eintracht Frankfurt,ATT,1485
Yusuf Kabadayi,FC Augsburg,ATT,1485
Anton Stach,TSG 1899 Hoffenheim,MID,1485
Noah Weisshaupt,FC St. Pauli,ATT,1485
Jonas Föhrenbach,1. FC Heidenheim 1846,DEF,1485
Justin Diehl,VfB Stuttgart,ATT,1485
Andreas Albers,FC St. Pauli,ATT,1485
Lukas Nmecha,VfL Wolfsburg,ATT,1484
Nico Schlotterbeck,Borussia Dortmund,DEF,1483
Phillipp Mwene,1. FSV Mainz 05,MID,1482
Piero Hincapié,Bayer 04 Leverkusen,DEF,1482
Arthur Chaves,TSG 1899 Hoffenheim,DEF,1482
Benedikt Pichler,Holstein Kiel,ATT,1482
Josip Stanisic,Bayern München,DEF,1480
Marin Ljubicic,1. FC Union Berlin,ATT,1480
Josha Vagnoman,VfB Stuttgart,DEF,1480
Nelson Weiper,1. FSV Mainz 05,ATT,1479
Johan Manzambi,Sport-Club Freiburg,MID,1479
Christopher Trimmel,1. FC Union Berlin,MID,1479
Oladapo Afolayan,FC St. Pauli,ATT,1478
Kaua,Eintracht Frankfurt,GK,1478
Matej Kovar,Bayer 04 Leverkusen,GK,1478
Tymoteusz Puchacz,Holstein Kiel,MID,1477
Florian Neuhaus,Borussia Mönchengladbach,ATT,1477
Edmond Tapsoba,Bayer 04 Leverkusen,DEF,1477
Igor Matanovic,Eintracht Frankfurt,ATT,1477
Issa Kaboré,SV Werder Bremen,MID,1477
Leonidas Stergiou,VfB Stuttgart,DEF,1475
Michael Gregoritsch,Sport-Club Freiburg,ATT,1475
Christoph Baumgartner,RB Leipzig,MID,1475
Fabio Chiarodia,Borussia Mönchengladbach,DEF,1475
Tim Breithaupt,FC Augsburg,MID,1475
Andu Yobel Kelati,Holstein Kiel,ATT,1475
Julian Ryerson,Borussia Dortmund,DEF,1475
Yan Couto,Borussia Dortmund,MID,1474
Yussuf Poulsen,RB Leipzig,ATT,1473
Jan-Niklas Beste,Sport-Club Freiburg,ATT,1472
Deniz Undav,VfB Stuttgart,ATT,1472
Carlo Boukhalfa,FC St. Pauli,ATT,1472
Mathys Tel,Bayern München,ATT,1472
Eric Ebimbe,Eintracht Frankfurt,ATT,1472
Noah Pesch,Borussia Mönchengladbach,ATT,1470
Jonah Kusi-Asare,Bayern München,ATT,1470
Arijon Ibrahimovic,Bayern München,ATT,1470
Arnaud Nordin,1. FSV Mainz 05,ATT,1470
Maurides,FC St. Pauli,ATT,1470
Nikolas Nartey,VfB Stuttgart,ATT,1470
Julian Malatini,SV Werder Bremen,DEF,1470
Paul Hennrich,TSG 1899 Hoffenheim,ATT,1470
Ihlas Bebou,TSG 1899 Hoffenheim,ATT,1470
Karim Onisiwo,1. FSV Mainz 05,ATT,1470
Cole Campbell,Borussia Dortmund,ATT,1470
Denis Thomalla,1. FC Heidenheim 1846,ATT,1470
David Mokwa,TSG 1899 Hoffenheim,ATT,1470
Samuel Bamba,VfL Bochum 1848,ATT,1470
Gabriel Vidovic,Bayern München,ATT,1470
Jarzinho Malanga,VfB Stuttgart,ATT,1470
David Jurasek,TSG 1899 Hoffenheim,DEF,1470
Maximilian Philipp,Sport-Club Freiburg,ATT,1470
Florent Muslija,Sport-Club Freiburg,ATT,1470
Aymen Barkok,1. FSV Mainz 05,ATT,1470
Sebastiaan Bornauw,VfL Wolfsburg,DEF,1470
Bazoumana Touré,TSG 1899 Hoffenheim,ATT,1469
Eric Smith,FC St. Pauli,DEF,1469
Koji Miyoshi,VfL Bochum 1848,ATT,1469
Paul Wanner,1. FC Heidenheim 1846,ATT,1468
Danel Sinani,FC St. Pauli,ATT,1468
Tim Skarke,1. FC Union Berlin,ATT,1468
Julian Weigl,Borussia Mönchengladbach,MID,1468
Fredrik Jensen,FC Augsburg,ATT,1466
Pavel Kaderabek,TSG 1899 Hoffenheim,MID,1466
Sacha Boey,Bayern München,DEF,1465
Cristian Gamboa,VfL Bochum 1848,MID,1465
Jamie Leweling,VfB Stuttgart,ATT,1465
Mads Valentin Pedersen,FC Augsburg,MID,1464
Josip Juranovic,1. FC Union Berlin,DEF,1464
Diadie Samassékou,TSG 1899 Hoffenheim,MID,1464
Arthur Vermeeren,RB Leipzig,MID,1464
