ParticipantName,TeamName,Position,ELO
Quentin Ndjantou,Paris Saint-Germain,MID,1521
Soumaila Coulibaly,Brest,DEF,1521
Timothy Weah,Marseille,DEF,1520
Otavio,Paris FC,DEF,1520
Ben Chilwell,Strasbourg,DEF,1519
Soriba Diaoune,Lille,Code_3,1519
Mory Diaw,Le Havre,GK,1519
Samir Chergui,Paris FC,DEF,1518
Bradley Locko,Brest,DEF,1518
Nathan Ngoy,Lille,DEF,1517
Ibrahim Mbaye,Paris Saint-Germain,ATT,1517
Yehvann Diouf,Nice,GK,1517
Grégoire Coudert,Brest,GK,1516
Mamadou Coulibaly,Monaco,MID,1516
Saud Abdulhamid,Lens,MID,1516
Samuel Amo-Ameyaw,Strasbourg,MID,1515
Lucas Tousart,Brest,MID,1515
Mousa Tamari,Rennes,MID,1515
Joel Mvuka,Lorient,MID,1515
Frank Magri,Toulouse,ATT,1514
George Ilenikhena,Monaco,ATT,1513
Folarin Balogun,Monaco,ATT,1513
Kassoum Ouattara,Monaco,MID,1513
Mika Biereth,Monaco,ATT,1512
Clement Akpa,Auxerre,DEF,1512
Antoine Mendy,Nice,DEF,1511
Aissa Mandi,Lille,DEF,1511
Amine Sbai,Angers,ATT,1510
Lucas Hernández,Paris Saint-Germain,DEF,1510
Mayckel Lahdo,Nantes,ATT,1509
Noam Jacquet,Le Havre,Code_3,1509
Mark McKenzie,Toulouse,DEF,1509
Ainsley Maitland-Niles,Lyon,DEF,1509
Nouha Dicko,Paris FC,ATT,1509
Sebastian Nanasi,Strasbourg,ATT,1508
Sambou Soumano,Lorient,ATT,1508
Ilya Zabarnyi,Paris Saint-Germain,DEF,1508
Hugo Magnetti,Brest,MID,1507
Louis Leroux,Nantes,MID,1507
Kendry Paez,Strasbourg,ATT,1506
Jacques Ekomié,Angers,DEF,1506
Nhoa Sangui,Paris FC,DEF,1506
Jean-Philippe Krasso,Paris FC,ATT,1505
Bahereba Guirassy,Nantes,ATT,1504
Marvin Senaya,Auxerre,DEF,1504
Cristian Casseres Jr.,Toulouse,MID,1504
Przemyslaw Frankowski,Rennes,MID,1503
Nicolás Tagliafico,Lyon,DEF,1503
Aleksandr Golovin,Monaco,ATT,1503
Aiyegun Tosin,Lorient,ATT,1503
Giorgi Abuashvili,Metz,ATT,1503
Emanuel Emegha,Strasbourg,ATT,1503
Kamory Doumbia,Brest,ATT,1502
Lucas Høgsberg,Strasbourg,DEF,1502
Carlens Arcus,Angers,DEF,1502
Ayumu Seko,Le Havre,DEF,1502
Stanis Idumbo,Monaco,ATT,1501
Clinton Mata,Lyon,DEF,1501
Marius Courcoul,Angers,MID,1501
Kelvin Amian,Nantes,DEF,1501
Dilane Bakwa,Strasbourg,MID,1501
Tidiane Devernois,Auxerre,Code_2,1500
Enzo Koffi,Le Havre,Code_2,1500
Sekou Doucoure,Nantes,Code_1,1500
Marius Louar,Angers,Code_1,1500
Thomas Meunier,Lille,DEF,1500
Adil Hamdani,Lyon,Code_2,1500
Raphael Le Guen,Brest,Code_1,1500
Johann Lepenant,Nantes,MID,1500
Mario Sauer,Toulouse,MID,1499
Mamadou Sarr,Strasbourg,DEF,1499
Luca Koleosho,Paris FC,ATT,1499
Terem Moffi,Nice,ATT,1499
Jim Allevinah,Angers,ATT,1499
Ethan Nwaneri,Marseille,ATT,1499
Julian Vignolo,Toulouse,ATT,1499
Jonathan Ikoné,Paris FC,ATT,1499
Kenny Lala,Brest,DEF,1499
Mostafa Mohamed,Nantes,ATT,1499
Georges Mikautadze,Lyon,ATT,1499
Yassine Benhattab,Nantes,ATT,1499
Morgan Sanson,Nice,MID,1499
Denis Zakaria,Monaco,MID,1498
Elye Wahi,Nice,ATT,1498
Hamari Traoré,Paris FC,DEF,1498
Youssef El Arabi,Nantes,ATT,1498
Julio Enciso,Strasbourg,ATT,1496
Mahdi Camara,Rennes,MID,1496
Morgan Bokele,Metz,ATT,1496
Junior Mwanga,Nantes,MID,1496
Félix Lemaréchal,Strasbourg,ATT,1496
Samir El Mourabet,Strasbourg,MID,1496
Rayan Fofana,Lens,ATT,1496
Hicham Boudaoui,Nice,MID,1495
Yassin Belkhdim,Angers,ATT,1495
Warren Kamanzi,Toulouse,MID,1495
Lasso Coulibaly,Auxerre,MID,1495
Saliou Diop,Brest,Code_3,1494
Kail Boudache,Nice,Code_3,1494
Boubacar Traore,Metz,MID,1494
Elias Legendre,Rennes,Code_3,1494
Nordan Mukiele,Rennes,Code_3,1494
Mohamed Dao,Paris FC,Code_3,1494
Romain Perraud,Lille,DEF,1493
Martin Satriano,Lyon,ATT,1493
Matias Fernandez-Pardo,Lille,ATT,1492
Benjamin André,Lille,MID,1492
Jérémy Jacquet,Rennes,DEF,1491
Yvon Mvogo,Lorient,GK,1490
Kevin Trapp,Paris FC,GK,1490
Godson Kyeremeh,Le Havre,ATT,1490
Rémy Descamps,Lyon,GK,1490
Sidiki Cherif,Angers,ATT,1489
Sékou Mara,Auxerre,ATT,1489
Fredrik Oppegård,Auxerre,MID,1489
Willem Geubbels,Paris FC,ATT,1489
Alexis Vossah,Toulouse,MID,1488
Pape Demba Diop,Toulouse,MID,1488
Ngal Ayel Mukau,Lille,MID,1488
Hamed Traorè,Marseille,ATT,1486
Tylel Tati,Nantes,DEF,1486
Eric Ebimbe,Brest,ATT,1486
Tiago Gouveia,Nice,DEF,1485
Bamba Dieng,Lorient,ATT,1485
Hákon Arnar Haraldsson,Lille,ATT,1485
Rémy Lascary,Brest,ATT,1484
Gessime Yassine,Strasbourg,ATT,1484
Ryan Rodin,Auxerre,ATT,1484
Brian Madjo,Metz,ATT,1484
Reda Khadra,Le Havre,ATT,1484
Mathieu Cafaro,Paris FC,ATT,1484
Eliesse Ben Seghir,Monaco,ATT,1484
Julien Lopez,Paris FC,ATT,1484
Fabian Rieder,Rennes,ATT,1484
Damian Pizarro,Le Havre,ATT,1484
Enzo Molebe,Lyon,ATT,1484
Ismael Guerti,Metz,ATT,1484
Ibrahim Salah,Rennes,ATT,1484
Idrissa Gueye,Metz,ATT,1484
Ignatius Ganago,Nantes,ATT,1484
Pierre-Yves Hamel,Paris FC,ATT,1484
Goduine Koyalipou,Angers,ATT,1484
Sebastian Szymanski,Rennes,ATT,1484
Justin-Noel Kalumba,Angers,ATT,1484
Darryl Bakola,Marseille,ATT,1484
Noah Nsoki,Paris Saint-Germain,ATT,1484
Louis Mouton,Angers,ATT,1484
Neal Maupay,Marseille,ATT,1484
Rachid Ghezzal,Lyon,ATT,1484
Tadjidine Mmadi,Marseille,ATT,1484
Romain Faivre,Auxerre,ATT,1484
Axel Camblan,Brest,ATT,1484
Anthony Bermont,Lens,ATT,1484
Lucas Michal,Monaco,ATT,1484
Badredine Bouanani,Nice,ATT,1484
Thelonius Bair,Auxerre,ATT,1484
Billal Brahimi,Nice,ATT,1484
Bertug Yildirim,Rennes,ATT,1484
Adama Camara,Paris FC,MID,1484
Zoumana Diallo,Nice,ATT,1484
Matthis Abline,Nantes,ATT,1483
Olivier Giroud,Lille,ATT,1483
Alimami Gory,Paris FC,ATT,1483
Darlin Yongwa,Lorient,DEF,1482
Caio Henrique,Monaco,DEF,1482
Thibault De Smet,Paris FC,DEF,1481
Dermane Karim,Lorient,ATT,1481
Salis Abdul Samed,Nice,MID,1480
Ibou Sané,Metz,ATT,1479
Djaoui Cisse,Rennes,MID,1479
Abdallah Sima,Lens,ATT,1478
Malick Fofana,Lyon,ATT,1477
Laurent Abergel,Lorient,MID,1477
Ali Abdi,Nice,DEF,1477
Noah Nartey,Lyon,MID,1477
Marshall Munetsi,Paris FC,ATT,1476
Eric Dier,Monaco,DEF,1476
Maxime Lopez,Paris FC,MID,1476
Jessy Deminguet,Metz,MID,1476
Jonathan Rowe,Marseille,ATT,1476
Ismaël Doukouré,Strasbourg,DEF,1476
Kenny Quetant,Le Havre,ATT,1476
Joel Asoro,Metz,ATT,1476
Ibrahim Osman,Auxerre,ATT,1475
Daouda Guindo,Brest,DEF,1474
Matthew O'Riley,Marseille,ATT,1474
Tanguy Ndombélé,Nice,MID,1474
Mohamed Kaba,Nantes,MID,1472
Philipp Köhn,Monaco,GK,1472
Goncalo Ramos,Paris Saint-Germain,ATT,1472
Florian Thauvin,Lens,ATT,1471
Bahmed Deuff,Nantes,MID,1471
Pierre Ganiou,Lens,DEF,1471
Hyeok-Kyu Kwon,Nantes,MID,1471
Abner,Lyon,DEF,1470
Yanis Zouaoui,Le Havre,DEF,1470
Adam Karabec,Lyon,ATT,1470
Koffi Kouao,Metz,DEF,1470
Malick Mbaye,Metz,ATT,1469
Sofiane Boufal,Le Havre,ATT,1469
Amir Murillo,Marseille,DEF,1469
Bernard Nguene,Nice,ATT,1469
Paris Brunner,Monaco,ATT,1469
Prosper Peter,Angers,ATT,1469
Isak Jansson,Nice,ATT,1469
Dehmaine Tabibou,Nantes,MID,1468
Rémy Cabella,Nantes,ATT,1468
Felix Mambimbi,Le Havre,ATT,1467
Rudy Matondo,Auxerre,MID,1466
Takumi Minamino,Monaco,ATT,1466
Simon Ebonog,Le Havre,MID,1465
Alpha Toure,Metz,MID,1465
Brice Samba,Rennes,GK,1465
Fabien Centonze,Nantes,MID,1464
Amady Camara,Nantes,ATT,1464
Rafael Luis,Strasbourg,MID,1463
Charles Vanhoutte,Nice,MID,1463
Pape Cabral,Monaco,MID,1463
Deiver Machado,Nantes,MID,1463
Hyun-Seok Hong,Nantes,MID,1463
Pierrick Capelle,Angers,MID,1463
Ugo Raghouber,Lille,MID,1462
Lanroy Machine,Angers,ATT,1462
Mathis Saka,Toulouse,MID,1462
Joseph Nduquidi,Metz,MID,1462
Mathis Jangeal,Paris Saint-Germain,MID,1462
Paul Pogba,Monaco,MID,1462
Naouirou Ahamada,Auxerre,MID,1462
Glen Kamara,Rennes,MID,1462
Fodé Sylla,Lens,MID,1462
Hamza Koutoune,Nice,MID,1462
Pol Lirola,Marseille,MID,1462
Gabin Bernardeau,Nice,MID,1462
Everton,Nice,MID,1462
Daren Mosengo,Le Havre,MID,1462
Believe Munongo,Metz,MID,1462
André Gomes,Lille,MID,1462
Andy Diouf,Lens,MID,1462
Orel Mangala,Lyon,MID,1462
Pablo Rosario,Nice,MID,1462
Wout Faes,Monaco,DEF,1461
Ousmane Touré,Lille,DEF,1461
Vincent Burlet,Lille,DEF,1461
Nathaniel Adjei,Lorient,DEF,1461
Mikayil Faye,Rennes,DEF,1461
Justin Bourgault,Brest,DEF,1461
Luck Zogbe,Brest,DEF,1461
Mathieu Acapandie,Nantes,DEF,1461
Maxima Goffi,Lille,DEF,1461
Michel Diaz,Brest,DEF,1461
Hans Hateboer,Rennes,DEF,1461
Julien Le Cardinal,Brest,DEF,1461
Bryan Okoh,Auxerre,DEF,1461
Telli Siwe,Auxerre,DEF,1461
Stephan Zagadou,Le Havre,DEF,1461
Brad-Hamilton Mantsounga,Nice,DEF,1461
Abakar Sylla,Strasbourg,DEF,1461
Tiago Santos,Lille,DEF,1461
Tuomas Ollila,Paris FC,DEF,1461
Timothée Pembélé,Le Havre,DEF,1461
Urie-Michel Mboula,Metz,DEF,1461
Derek Cornelius,Marseille,DEF,1461
Seny Koumbassa,Toulouse,DEF,1461
Dante,Nice,DEF,1461
Emmanuel Biumla,Angers,DEF,1461
Uros Radakovic,Nantes,DEF,1461
Younes Namli,Le Havre,ATT,1461
Abdoulaye Bamba,Angers,DEF,1461
Gabriel Osho,Auxerre,DEF,1461
Lukas Hradecky,Monaco,GK,1460
Jeffrey De Lange,Marseille,GK,1460
Andrija Bulatovic,Lens,MID,1460
Bingourou Kamara,Lorient,GK,1460
Karl-Johan Johnsson,Strasbourg,GK,1460
Matvey Safonov,Paris Saint-Germain,GK,1460
Achraf Hakimi,Paris Saint-Germain,DEF,1460
Thilo Kehrer,Monaco,DEF,1457
Radoslaw Majecki,Brest,GK,1455
Gideon Mensah,Auxerre,MID,1454
Anthony Lopes,Nantes,GK,1451
Cheikh Sabaly,Metz,ATT,1450
Panos Katseris,Lorient,MID,1450
Adrien Rabiot,Marseille,MID,1449
Bilal Nadir,Marseille,ATT,1449
Aladji Bamba,Monaco,MID,1448
Lohann Doucet,Paris FC,MID,1448
Branco van den Boomen,Angers,MID,1448
Lucas Gourna-Douath,Le Havre,MID,1447
Ibrahima Sissoko,Nantes,MID,1447
Francis Coquelin,Nantes,MID,1447
Quinten Timber,Marseille,MID,1447
Mathis Amougou,Strasbourg,MID,1447
Deiver Machado,Lens,MID,1447
Jaydee Canvot,Toulouse,DEF,1446
Formose Mendy,Lorient,DEF,1446
