ParticipantName,TeamName,Position,ELO
Senne Lynen,SV Werder Bremen,MID,1532
Miro Muheim,Hamburger SV,MID,1532
Jackson Irvine,FC St. Pauli,MID,1531
Noah Atubolu,Sport-Club Freiburg,GK,1531
Ellyes Skhiri,Eintracht Frankfurt,MID,1530
Yukinari Sugawara,SV Werder Bremen,DEF,1529
Bilal El Khannouss,VfB Stuttgart,ATT,1529
Martijn Kaars,FC St. Pauli,ATT,1529
Eric Smith,FC St. Pauli,DEF,1529
Franck Honorat,Borussia Mönchengladbach,ATT,1529
Leon Goretzka,Bayern München,MID,1528
Ramy Bensebaini,Borussia Dortmund,DEF,1528
Finn Jeltsch,VfB Stuttgart,DEF,1527
Dzenan Pejcinovic,VfL Wolfsburg,ATT,1525
Andreas Hountondji,FC St. Pauli,ATT,1524
Johan Manzambi,Sport-Club Freiburg,MID,1524
Fabio Balde,Hamburger SV,ATT,1523
Ramon Hendriks,VfB Stuttgart,DEF,1523
Cedric Zesiger,FC Augsburg,DEF,1522
Justin Njinmah,SV Werder Bremen,ATT,1522
Equi Fernandez,Bayer 04 Leverkusen,MID,1521
Julian Ryerson,Borussia Dortmund,MID,1520
Mert Kömür,FC Augsburg,ATT,1520
Linton Maina,1. FC Köln,ATT,1519
Tim Lemperle,TSG 1899 Hoffenheim,ATT,1519
Adam Dzwigala,FC St. Pauli,DEF,1519
Xaver Schlager,RB Leipzig,MID,1518
Fabian Rieder,FC Augsburg,ATT,1518
Joel Chima Fujita,FC St. Pauli,MID,1518
Loic Badé,Bayer 04 Leverkusen,DEF,1517
Marcel Sabitzer,Borussia Dortmund,MID,1516
Victor Okoh Boniface,SV Werder Bremen,ATT,1516
Isaac Schmidt,SV Werder Bremen,DEF,1516
Mio Backhaus,SV Werder Bremen,GK,1516
Stefan Schimmer,1. FC Heidenheim 1846,ATT,1515
Robin Hranac,TSG 1899 Hoffenheim,DEF,1515
Woo-Yeong Jeong,1. FC Union Berlin,ATT,1515
Connor Metcalfe,FC St. Pauli,MID,1514
Leon Avdullahu,TSG 1899 Hoffenheim,MID,1514
Nicolas Jackson,Bayern München,ATT,1513
Louis Oppie,FC St. Pauli,MID,1513
Keven Schlotterbeck,FC Augsburg,DEF,1512
Maximilian Arnold,VfL Wolfsburg,MID,1512
Maximilian Eggestein,Sport-Club Freiburg,MID,1512
Fabio Silva,Borussia Dortmund,ATT,1511
Moritz Jenz,VfL Wolfsburg,DEF,1511
Fabio Vieira,Hamburger SV,MID,1511
Kristoffer Lund Hansen,1. FC Köln,MID,1511
Patrice Covic,SV Werder Bremen,MID,1510
Manuel Neuer,Bayern München,GK,1510
Jordy Makengo,Sport-Club Freiburg,DEF,1510
Karim Coulibaly,SV Werder Bremen,DEF,1510
Albian Hajdari,TSG 1899 Hoffenheim,DEF,1509
Marin Ljubicic,1. FC Union Berlin,ATT,1509
Charles Herrmann,Borussia Mönchengladbach,Code_3,1508
Rocco Reitz,Borussia Mönchengladbach,MID,1508
Manolis Saliakas,FC St. Pauli,MID,1508
Malik Tillman,Bayer 04 Leverkusen,ATT,1508
Lukas Ullrich,Borussia Mönchengladbach,DEF,1508
Ridle Baku,RB Leipzig,DEF,1507
András Schäfer,1. FC Union Berlin,MID,1507
Robert Glatzel,Hamburger SV,ATT,1507
Ermedin Demirovic,VfB Stuttgart,ATT,1507
Jonas Föhrenbach,1. FC Heidenheim 1846,DEF,1506
Adrian Beck,1. FC Heidenheim 1846,ATT,1505
Yannik Engelhardt,Borussia Mönchengladbach,MID,1505
Adam Daghim,VfL Wolfsburg,ATT,1505
Serhou Guirassy,Borussia Dortmund,ATT,1505
Patrick Wimmer,VfL Wolfsburg,ATT,1504
Johan Bakayoko,RB Leipzig,ATT,1504
Tim Skarke,1. FC Union Berlin,ATT,1504
Eric Martel,1. FC Köln,DEF,1504
Dimitrios Giannoulis,FC Augsburg,MID,1504
Shuto Machino,Borussia Mönchengladbach,ATT,1503
Kristijan Jakic,FC Augsburg,MID,1503
Danel Sinani,FC St. Pauli,ATT,1503
Rayan Philippe,Hamburger SV,ATT,1501
Robert Andrich,Bayer 04 Leverkusen,DEF,1501
Niklas Dorsch,1. FC Heidenheim 1846,MID,1501
Nathaniel Brown,Eintracht Frankfurt,DEF,1501
Luca Netz,Borussia Mönchengladbach,MID,1501
Adam Koelle,1. FC Heidenheim 1846,Code_1,1500
Patrick Osterhage,Sport-Club Freiburg,MID,1500
Florian Kainz,1. FC Köln,ATT,1500
Wael Mohya,Borussia Mönchengladbach,Code_2,1500
Pharrell Hensel,VfL Wolfsburg,Code_2,1500
Robin Fellhauer,FC Augsburg,MID,1499
Yannik Wagner,1. FC Heidenheim 1846,Code_3,1498
Jan Urbich,Borussia Mönchengladbach,Code_3,1498
Alexis Claude,FC Augsburg,ATT,1498
Yuito Suzuki,Sport-Club Freiburg,ATT,1498
Tobias Weigel,1. FC Heidenheim 1846,Code_3,1498
Youssoupha Niang,1. FC Köln,Code_3,1498
Max Moerstedt,TSG 1899 Hoffenheim,ATT,1498
Philipp Lienhart,Sport-Club Freiburg,DEF,1498
Samba Konate,RB Leipzig,Code_3,1498
Rasmus Kristensen,Eintracht Frankfurt,DEF,1497
Marius Wolf,FC Augsburg,MID,1497
Denis Huseinbasic,1. FC Köln,MID,1497
Oliver Burke,1. FC Union Berlin,ATT,1495
Mark Flekken,Bayer 04 Leverkusen,GK,1495
Christian Günter,Sport-Club Freiburg,DEF,1495
Alexander Prass,TSG 1899 Hoffenheim,MID,1495
Ansgar Knauff,Eintracht Frankfurt,ATT,1495
Jonas Hofmann,Bayer 04 Leverkusen,ATT,1495
Ezechiel Banzuzi,RB Leipzig,MID,1494
Daniel Elfadli,Hamburger SV,DEF,1494
Leo Scienza,1. FC Heidenheim 1846,ATT,1494
Florian Neuhaus,Borussia Mönchengladbach,ATT,1494
Oscar Højlund,Eintracht Frankfurt,MID,1494
Michael Gregoritsch,FC Augsburg,ATT,1494
Marius Bülter,1. FC Köln,ATT,1494
Younes Ebnoutalib,Eintracht Frankfurt,ATT,1494
Montrell Culbreath,Bayer 04 Leverkusen,ATT,1494
Dayot Upamecano,Bayern München,DEF,1493
Muhammed Mehmet Damar,TSG 1899 Hoffenheim,ATT,1493
Tiago Tomás,VfB Stuttgart,ATT,1493
Nikolas Veratschnig,1. FSV Mainz 05,MID,1492
Tom Krauss,1. FC Köln,MID,1492
William Mikelbrencis,Hamburger SV,DEF,1490
Aljoscha Kemlein,1. FC Union Berlin,MID,1489
Daniel Heuer Fernandes,Hamburger SV,GK,1489
Ayoube Amaimouni-Echghouyab,Eintracht Frankfurt,ATT,1489
Jamal Musiala,Bayern München,ATT,1489
Christian Eriksen,VfL Wolfsburg,ATT,1487
Michy Batshuayi,Eintracht Frankfurt,ATT,1486
Arnaud Nordin,1. FSV Mainz 05,ATT,1486
Silas Katompa Mvumpa,1. FSV Mainz 05,ATT,1486
Yan Couto,Borussia Dortmund,MID,1486
Josha Vagnoman,VfB Stuttgart,DEF,1483
Jae-Sung Lee,1. FSV Mainz 05,ATT,1483
Yannick Gerhardt,VfL Wolfsburg,MID,1483
Rani Khedira,1. FC Union Berlin,MID,1483
Hiroki Ito,Bayern München,DEF,1482
James Sands,FC St. Pauli,MID,1482
Arthur Theate,Eintracht Frankfurt,DEF,1481
Jonas Urbig,Bayern München,GK,1481
Elias Saad,FC Augsburg,ATT,1481
Nicolas Capaldo,Hamburger SV,DEF,1481
Jan Thielmann,1. FC Köln,ATT,1480
Konrad Laimer,Bayern München,DEF,1480
Benedict Hollerbach,1. FSV Mainz 05,ATT,1480
Claudio Echeverri,Bayer 04 Leverkusen,ATT,1479
Andrija Maksimovic,RB Leipzig,ATT,1479
Tim Kleindienst,Borussia Mönchengladbach,ATT,1479
Václav Cerny,VfL Wolfsburg,ATT,1479
Alejo Sarco,Borussia Mönchengladbach,ATT,1479
Robin Hack,Borussia Mönchengladbach,ATT,1479
Xavi Simons,RB Leipzig,ATT,1479
Jessic Ngankam,Eintracht Frankfurt,ATT,1479
Wisdom Mike,Bayern München,ATT,1479
Nick Woltemade,VfB Stuttgart,ATT,1479
Timo Werner,RB Leipzig,ATT,1479
Ikoma Lois Openda,RB Leipzig,ATT,1479
Fynn Schenten,1. FC Köln,ATT,1479
Fabio Moreno Fell,1. FSV Mainz 05,ATT,1479
Isak Bergmann Johannesson,1. FC Köln,MID,1479
Grant-Leon Ranos,Borussia Mönchengladbach,ATT,1479
Jeremy Arevalo,VfB Stuttgart,ATT,1479
Otto Stange,Hamburger SV,ATT,1479
Lazar Jovanovic,VfB Stuttgart,ATT,1479
Jovan Milosevic,SV Werder Bremen,ATT,1479
Ben Bobzien,1. FSV Mainz 05,ATT,1479
Cole Campbell,Borussia Dortmund,ATT,1479
Ismaël Gharbi,FC Augsburg,ATT,1479
Emir Sahiti,Hamburger SV,ATT,1479
Merlin Röhl,Sport-Club Freiburg,ATT,1479
Bernardo,TSG 1899 Hoffenheim,DEF,1478
Joel Schmied,1. FC Köln,DEF,1477
Lucas Höler,Sport-Club Freiburg,ATT,1476
Giovanni Reyna,Borussia Mönchengladbach,ATT,1476
Omar Traoré,1. FC Heidenheim 1846,DEF,1475
Mario Götze,Eintracht Frankfurt,ATT,1475
Philipp Treu,Sport-Club Freiburg,DEF,1474
Jarell Quansah,Bayer 04 Leverkusen,DEF,1474
Frederik Rønnow,1. FC Union Berlin,GK,1474
Vini Souza,VfL Wolfsburg,MID,1474
William Bøving,1. FSV Mainz 05,ATT,1474
Eren Dinkci,1. FC Heidenheim 1846,ATT,1473
Jan Schöppner,1. FC Heidenheim 1846,MID,1473
Sirlord Conteh,1. FC Heidenheim 1846,ATT,1473
Arnaud Kalimuendo-Muinga,Eintracht Frankfurt,ATT,1473
Atakan Karazor,VfB Stuttgart,MID,1473
Mattias Svanberg,VfL Wolfsburg,MID,1472
Andreas Skov Olsen,VfL Wolfsburg,ATT,1471
Adam Hlozek,TSG 1899 Hoffenheim,ATT,1471
Lovro Majer,VfL Wolfsburg,ATT,1471
Damion Downs,Hamburger SV,ATT,1471
Silvan Widmer,1. FSV Mainz 05,MID,1470
Armindo Sieb,1. FSV Mainz 05,ATT,1470
Noahkai Banks,FC Augsburg,DEF,1470
Nikolas Nartey,VfB Stuttgart,ATT,1470
Alex Kral,1. FC Union Berlin,MID,1470
Lorenz Assignon,VfB Stuttgart,MID,1470
Anton Kade,FC Augsburg,ATT,1469
Ihlas Bebou,TSG 1899 Hoffenheim,ATT,1468
Dominik Kohr,1. FSV Mainz 05,DEF,1468
Oscar Fraulo,Borussia Mönchengladbach,MID,1467
Finn Dahmen,FC Augsburg,GK,1466
Joseph Scally,Borussia Mönchengladbach,DEF,1466
Chukwubuike Adamu,Sport-Club Freiburg,ATT,1465
Kamil Grabara,VfL Wolfsburg,GK,1465
Eren Dinkci,Sport-Club Freiburg,ATT,1464
Cyriaque Irie,Sport-Club Freiburg,ATT,1464
Jesper Lindstrøm,VfL Wolfsburg,ATT,1464
Sota Kawasaki,1. FSV Mainz 05,ATT,1464
Arkadiusz Pyrka,FC St. Pauli,MID,1464
Arthur Chaves,FC Augsburg,DEF,1462
Aaron Anselmino,Borussia Dortmund,DEF,1462
