ParticipantName,TeamName,Position,Accurate long balls per 90,Accurate passes per 90,Assists,Big chances created,Big chances missed,Blocks per 90,Chances created,Clean sheets,Clearances per 90,Expected assist (xA),Expected assist (xA) per 90,Expected goals (xG),Expected goals (xG) per 90,Expected goals on target (xGOT),Fouls committed per 90,Goals conceded per 90,Goals per 90,Goals prevented,Interceptions per 90,Penalties conceded,Penalties won,Possession won final 3rd per 90,Red cards,Save percentage,Saves per 90,Shots on target per 90,Successful dribbles per 90,Top scorer,Yellow cards
Andrej Kramaric,TSG 1899 Hoffenheim,ATT,0.9,34.3,4.0,5.0,3.0,0.2,22.0,,0.5,2.9,0.22,5.9,0.45,8.9,0.2,,0.61,,0.5,,,1.1,,,,1.4,0.8,8.0,1.0
Andrija Maksimovic,RB Leipzig,ATT,,,,1.0,,,3.0,,,0.2,,0.1,,,,,,,,,,,,,,,,,
András Schäfer,1. FC Union Berlin,MID,0.1,21.1,,,1.0,0.4,3.0,,1.4,0.2,0.03,1.2,0.16,0.6,2.4,,0.13,,1.7,,,0.3,,,,0.5,0.3,1.0,1.0
Angelo Stiller,VfB Stuttgart,MID,2.1,66.2,4.0,5.0,3.0,0.2,35.0,,1.4,4.4,0.25,2.2,0.12,2.3,0.7,,0.06,,1.0,,,0.8,,,,0.2,0.5,1.0,1.0
Ansgar Knauff,Eintracht Frankfurt,ATT,0.1,16.1,1.0,4.0,2.0,,16.0,,0.6,1.4,0.13,2.4,0.22,3.3,1.8,,0.27,,0.6,,,0.6,,,,1.0,0.7,3.0,2.0
Anthony Caci,1. FSV Mainz 05,MID,,,,,,,6.0,,,0.5,,0.3,,,,,,,,,,,,,,,,,1.0
Anthony Jung,Sport-Club Freiburg,DEF,,,,1.0,,,3.0,,,0.8,,,,,,,,,,,,,,,,,,,2.0
Anton Kade,FC Augsburg,ATT,0.6,18.5,,1.0,3.0,0.1,14.0,,1.0,0.9,0.09,2.8,0.27,2.1,0.9,,0.2,,0.5,,1.0,0.6,,,,0.9,0.8,2.0,2.0
Antonio Nusa,RB Leipzig,ATT,0.8,21.9,2.0,4.0,3.0,,17.0,,0.4,3.1,0.23,3.8,0.29,2.1,0.4,,0.15,,0.4,,,0.3,,,,0.9,3.2,2.0,
Arijon Ibrahimovic,1. FC Heidenheim 1846,ATT,1.9,25.2,2.0,6.0,5.0,0.2,36.0,,1.1,3.7,0.23,3.8,0.24,3.1,0.6,,,,0.8,,,0.5,,,,0.9,0.8,,2.0
Arkadiusz Pyrka,FC St. Pauli,MID,1.2,26.2,,3.0,,0.5,11.0,,2.7,0.9,0.06,0.3,0.02,0.0,0.7,,,,0.9,,,0.5,,,,0.1,0.5,,3.0
Armindo Sieb,1. FSV Mainz 05,ATT,0.2,14.2,,1.0,4.0,,7.0,,0.2,0.4,0.08,2.0,0.42,2.3,2.7,,0.42,,,,,1.5,,,,1.3,1.0,2.0,1.0
Arnaud Kalimuendo-Muinga,Eintracht Frankfurt,ATT,,,1.0,1.0,2.0,,2.0,,,0.3,,1.2,,2.0,,,,,,,,,,,,,,2.0,2.0
Arnaud Nordin,1. FSV Mainz 05,ATT,1.0,25.5,,,,0.2,3.0,,1.2,0.5,0.1,0.8,0.15,0.5,0.8,,,,0.8,,,0.8,,,,0.4,0.8,,
Arne Maier,FC Augsburg,MID,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Arthur,Bayer 04 Leverkusen,MID,0.9,27.2,3.0,2.0,1.0,0.1,10.0,,2.4,1.3,0.14,0.9,0.1,0.2,1.3,,0.11,,1.6,1.0,,0.7,,,,0.2,1.2,1.0,2.0
Arthur Chaves,FC Augsburg,DEF,,,,,,,3.0,,,0.1,,0.2,,0.9,,,,,,,,,,,,,,1.0,
Arthur Chaves,TSG 1899 Hoffenheim,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Arthur Theate,Eintracht Frankfurt,DEF,2.9,59.3,,1.0,2.0,0.6,11.0,,6.0,1.1,0.06,0.7,0.04,0.7,0.6,,0.06,,1.3,,1.0,0.3,,,,0.2,0.2,1.0,8.0
Atakan Karazor,VfB Stuttgart,MID,0.8,41.5,,2.0,2.0,0.4,6.0,,3.0,1.3,0.1,0.5,0.04,0.8,1.1,,,,0.8,,,0.4,,,,0.2,0.3,,3.0
Aurelio Buta,Eintracht Frankfurt,MID,,,,,,,1.0,,,0.1,,0.0,,,,,,,,,,,,,,,,,1.0
Aurèle Amenda,Eintracht Frankfurt,DEF,3.3,54.0,,1.0,1.0,0.7,1.0,,8.8,0.3,0.05,0.3,0.05,,1.1,,,,1.6,,,0.2,,,,,,,2.0
Axel Tape-Kobrissa,Bayer 04 Leverkusen,DEF,,,,,1.0,,,,,0.0,,0.2,,0.2,,,,,,1.0,,,,,,,,,1.0
Ayoube Amaimouni-Echghouyab,Eintracht Frankfurt,ATT,,,1.0,,,,2.0,,,0.1,,0.1,,1.0,,,,,,,,,,,,,,1.0,1.0
Badredine Bouanani,VfB Stuttgart,ATT,1.1,29.6,,,2.0,,5.0,,0.9,0.9,0.19,0.7,0.15,0.1,0.2,,,,0.9,,,0.6,,,,0.4,0.9,,1.0
Bakery Jatta,Hamburger SV,MID,,,,,1.0,,2.0,,,0.2,,0.3,,0.8,,,,,,,,,,,,,,,
