ParticipantName,TeamName,Position,Accurate long balls per 90,Accurate passes per 90,Assists,Big chances created,Big chances missed,Blocks per 90,Chances created,Clean sheets,Clearances per 90,Expected assist (xA),Expected assist (xA) per 90,Expected goals (xG),Expected goals (xG) per 90,Expected goals on target (xGOT),Fouls committed per 90,Goals conceded per 90,Goals per 90,Goals prevented,Interceptions per 90,Penalties conceded,Penalties won,Possession won final 3rd per 90,Red cards,Save percentage,Saves per 90,Shots on target per 90,Successful dribbles per 90,Top scorer,Yellow cards
Andrew Omobamidele,Strasbourg,DEF,0.4,84.8,,,1.0,0.8,,,5.4,0.0,0.01,0.2,0.04,0.2,1.2,,,,1.0,,,,,,,0.2,,,1.0
Andrija Bulatovic,Lens,MID,,,1.0,2.0,1.0,,4.0,,,0.5,,0.3,,0.7,,,,,,1.0,,,,,,,,,1.0
André Gomes,Lille,MID,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Andy Diouf,Lens,MID,,,,,,,,,,0.0,,0.2,,0.8,,,,,,,,,,,,,,,
Angel Gomes,Marseille,ATT,1.8,53.4,,1.0,3.0,,18.0,,0.2,0.9,0.09,1.4,0.14,0.8,1.9,,0.3,,0.4,,,0.5,,,,0.5,0.6,3.0,4.0
Ansu Fati,Monaco,ATT,1.7,27.2,,1.0,7.0,,8.0,,0.9,0.6,0.11,7.5,1.3,7.3,1.0,,1.21,,0.2,,,0.5,,,,2.1,1.0,7.0,1.0
Anthony Bermont,Lens,ATT,,,,,,,,,,0.1,,0.1,,0.1,,,,,,,,,,,,,,,
Anthony Lopes,Nantes,GK,,24.5,,,,,,3.0,1.3,0.0,0.0,0.1,0.0,,,1.8,,-2.4,0.1,,,,,65.3,3.4,,0.1,,3.0
Anthony Rouault,Rennes,DEF,1.9,51.2,,,1.0,0.9,3.0,,5.0,0.2,0.02,0.7,0.07,0.5,1.1,,0.1,,1.1,1.0,,,,,,0.1,,1.0,3.0
Antoine Mendy,Nice,DEF,2.3,49.3,,,1.0,1.0,1.0,,6.7,0.3,0.02,0.5,0.04,0.9,1.5,,,,0.6,1.0,,0.1,,,,0.2,0.4,,5.0
Arnaud Bodart,Lille,GK,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,
Aron Dønnum,Toulouse,MID,3.0,26.6,3.0,6.0,1.0,0.1,39.0,,0.6,4.4,0.26,3.9,0.23,3.7,1.2,,0.18,,1.2,,2.0,0.5,,,,0.5,1.1,3.0,5.0
Arouna Sangante,Le Havre,DEF,2.4,47.3,,,1.0,0.8,3.0,,5.4,0.5,0.03,0.3,0.02,1.5,1.5,,0.06,,1.3,1.0,,,,,,0.2,0.2,1.0,3.0
Arsene Kouassi,Lorient,MID,0.5,25.0,3.0,5.0,1.0,0.1,21.0,,1.9,2.1,0.12,0.5,0.03,0.6,0.6,,0.11,,0.9,,1.0,0.4,,,,0.1,1.4,2.0,3.0
