ParticipantName,TeamName,Position,Accurate long balls per 90,Accurate passes per 90,Assists,Big chances created,Big chances missed,Blocks per 90,Chances created,Clean sheets,Clearances per 90,Expected assist (xA),Expected assist (xA) per 90,Expected goals (xG),Expected goals (xG) per 90,Expected goals on target (xGOT),Fouls committed per 90,Goals conceded per 90,Goals per 90,Goals prevented,Interceptions per 90,Penalties conceded,Penalties won,Possession won final 3rd per 90,Red cards,Save percentage,Saves per 90,Shots on target per 90,Successful dribbles per 90,Top scorer,Yellow cards
Francis Coquelin,Nantes,MID,,,,,,,,,,0.1,,0.1,,0.1,,,,,,,,,,,,,,,1.0
Francisco Sierralta,Auxerre,DEF,1.4,37.9,,,,0.5,2.0,,5.8,0.2,0.02,1.0,0.11,1.1,0.8,,0.1,,0.8,,,,,,,0.2,0.2,1.0,2.0
Frank Magri,Toulouse,ATT,0.1,10.7,1.0,1.0,2.0,0.1,14.0,,0.9,0.9,0.07,4.4,0.31,4.7,2.0,,0.36,,0.2,,,0.4,,,,0.9,0.7,5.0,3.0
Fredrik Oppegård,Auxerre,MID,0.7,27.7,,,,0.5,8.0,,2.3,0.8,0.11,0.2,0.02,0.1,0.8,,,,1.2,,,0.1,1.0,,,0.1,0.4,,1.0
Félix Lemaréchal,Strasbourg,ATT,0.5,29.4,2.0,2.0,1.0,,7.0,,1.1,0.6,0.1,0.9,0.14,0.4,1.3,,,,0.5,,,1.0,,,,0.3,1.9,,1.0
Gabin Bernardeau,Nice,MID,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Gabriel Osho,Auxerre,DEF,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Gauthier Hein,Metz,ATT,5.1,49.1,4.0,5.0,,0.1,28.0,,0.2,2.0,0.12,5.2,0.31,5.0,0.6,,0.36,,0.3,,,0.5,1.0,,,0.5,0.3,6.0,1.0
Gautier Lloris,Le Havre,DEF,2.8,53.6,1.0,1.0,3.0,0.8,3.0,,5.3,0.3,0.02,0.8,0.05,0.5,1.3,,0.06,,1.7,1.0,1.0,0.1,1.0,,,0.2,0.1,1.0,1.0
Geoffrey Kondogbia,Marseille,DEF,,,,,,,,,,0.1,,0.1,,0.2,,,,,,,,,,,,,,,2.0
George Ilenikhena,Monaco,ATT,0.5,9.3,,,3.0,0.2,3.0,,0.5,0.2,0.05,1.4,0.34,1.4,0.5,,0.48,,,,,0.7,,,,1.7,0.2,2.0,
Georges Mikautadze,Lyon,ATT,,,,,,,,,,0.1,,1.1,,1.6,,,,,,,,,,,,,,1.0,
Geronimo Rulli,Marseille,GK,,27.1,,,,,,5.0,1.2,0.0,0.0,,,,0.1,1.1,,4.2,,1.0,,,,72.1,2.9,,,,2.0
Gessime Yassine,Strasbourg,ATT,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Gideon Mensah,Auxerre,MID,1.8,34.9,,1.0,,0.1,11.0,,2.7,0.9,0.06,0.0,0.0,,1.5,,,,1.2,,,0.3,,,,,0.7,,5.0
Giorgi Abuashvili,Metz,ATT,2.1,29.6,,,,0.3,4.0,,1.3,0.4,0.12,0.3,0.08,1.1,1.1,,0.27,,0.5,1.0,,0.3,,,,1.1,1.1,1.0,1.0
Giorgi Tsitaishvili,Metz,ATT,0.5,19.0,1.0,4.0,,0.1,24.0,,1.3,2.9,0.19,1.1,0.07,1.2,0.8,,0.13,,0.5,,,0.3,,,,0.3,1.3,2.0,1.0
Glen Kamara,Rennes,MID,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Godson Kyeremeh,Le Havre,ATT,0.3,13.5,1.0,1.0,,,5.0,,0.8,0.3,0.07,0.4,0.11,0.3,1.9,,,,,,,0.3,,,,0.3,0.8,,
Goduine Koyalipou,Angers,ATT,,,,,,,,,,0.0,,0.2,,0.1,,,,,,,,,,,,,,,
Goncalo Ramos,Paris Saint-Germain,ATT,0.2,18.2,,,8.0,,8.0,,0.3,0.5,0.05,5.5,0.56,5.8,1.5,,0.41,,0.3,,,0.7,,,,1.8,0.9,4.0,2.0
Grégoire Coudert,Brest,GK,,17.9,,,,,,2.0,1.0,0.0,0.0,,,,,1.7,,0.7,,,,,,64.7,3.2,,0.1,,
Guillaume Restes,Toulouse,GK,,16.6,,,,,1.0,8.0,1.2,0.1,0.0,,,,,1.2,,2.0,0.1,,,,,65.7,2.2,,,,2.0
Guéla Doué,Strasbourg,DEF,0.9,48.1,5.0,3.0,,0.1,11.0,,3.9,1.3,0.1,1.6,0.12,1.2,1.9,,0.14,,1.0,,,0.4,,,,0.2,0.9,2.0,3.0
Habibou Mouhamadou Diallo,Metz,ATT,0.6,7.9,1.0,,4.0,0.1,6.0,,1.2,0.3,0.02,5.5,0.45,4.1,1.5,,0.33,,0.2,,1.0,0.2,,,,0.9,0.7,4.0,
Hamari Traoré,Paris FC,DEF,2.0,39.3,1.0,1.0,1.0,0.1,5.0,,3.0,0.5,0.06,0.2,0.02,,2.0,,,,1.3,1.0,,0.1,,,,,,,3.0
Hamed Traorè,Marseille,ATT,,,1.0,1.0,1.0,,4.0,,,0.6,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0
Hamidou Makalou,Brest,MID,1.2,34.6,,,,0.6,4.0,,0.6,0.2,0.1,0.0,0.02,,0.6,,,,1.7,,,0.6,,,,,,,
Hamza Igamane,Lille,ATT,0.6,20.0,1.0,2.0,1.0,,4.0,,0.4,0.8,0.17,3.6,0.75,5.1,1.3,,1.05,,0.4,,,1.1,,,,1.9,2.7,5.0,2.0
Hamza Koutoune,Nice,MID,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Hans Hateboer,Lyon,DEF,,,,,1.0,,,,,0.1,,0.6,,0.3,,,,,,,,,1.0,,,,,,
Hans Hateboer,Rennes,DEF,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Haris Belkebla,Angers,MID,1.1,36.7,,,,0.4,9.0,,1.4,0.3,0.02,0.2,0.01,,0.7,,,,0.9,,1.0,0.3,,,,,0.8,,7.0
Harouna Djibirin,Angers,ATT,0.4,14.8,1.0,1.0,,,3.0,,2.5,0.5,0.18,1.0,0.37,1.1,2.5,,0.72,,1.4,,,1.1,,,,1.1,1.1,2.0,1.0
Hervé Koffi,Angers,GK,,19.0,,,,,,7.0,1.2,0.0,0.0,,,,0.1,1.2,,8.6,,1.0,,,,76.9,3.9,,,,
Hicham Boudaoui,Nice,MID,1.3,29.8,2.0,2.0,3.0,0.5,12.0,,1.8,1.4,0.14,1.5,0.14,1.7,1.2,,0.1,,1.3,,,0.5,,,,0.7,0.7,1.0,5.0
Himad Abdelli,Angers,MID,2.0,51.0,,,,0.3,8.0,,1.0,0.7,0.07,2.0,0.19,2.1,1.5,,0.19,,1.3,,,0.6,,,,0.5,1.4,2.0,1.0
Hugo Magnetti,Brest,MID,1.7,33.7,,1.0,,,10.0,,1.7,0.9,0.05,0.4,0.03,0.7,1.5,,0.06,,1.5,,,0.2,,,,0.2,0.5,1.0,3.0
Hyeok-Kyu Kwon,Nantes,MID,1.2,22.8,,,,1.0,,,3.3,0.1,0.01,0.1,0.01,,1.3,,,,0.8,,,0.2,,,,,,,2.0
Hyun-Seok Hong,Nantes,MID,,,,,1.0,,1.0,,,0.1,,0.5,,0.5,,,,,,,,,,,,,,,
Hákon Arnar Haraldsson,Lille,ATT,1.1,37.2,1.0,3.0,4.0,,28.0,,0.3,2.9,0.19,4.3,0.28,3.1,1.4,,0.33,,0.4,,1.0,1.0,,,,0.5,0.8,5.0,4.0
Ibou Sané,Metz,ATT,0.5,18.1,1.0,1.0,,,5.0,,0.7,0.7,0.12,0.4,0.06,1.1,1.3,,0.17,,0.2,,2.0,0.2,,,,0.5,0.3,1.0,2.0
Ibrahim Mbaye,Paris Saint-Germain,ATT,0.5,45.1,2.0,2.0,3.0,,15.0,,0.2,1.9,0.22,1.5,0.18,1.1,1.1,,0.12,,0.6,,,1.1,,,,0.7,1.9,1.0,
Ibrahim Osman,Auxerre,ATT,0.6,18.9,2.0,1.0,5.0,,7.0,,0.3,0.7,0.1,1.9,0.27,1.1,1.0,,,,0.6,,,0.3,,,,0.9,0.9,,
Ibrahim Salah,Rennes,ATT,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Ibrahima Sissoko,Nantes,MID,,,,,,,,,,0.1,,0.1,,,,,,,,,,,,,,,,,1.0
Idrissa Gueye,Metz,ATT,,,,,,,,,,0.0,,0.1,,,,,,,,,,,,,,,,,
Ignatius Ganago,Nantes,ATT,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Igor Paixao,Marseille,ATT,0.9,26.8,2.0,1.0,2.0,0.1,11.0,,0.9,0.9,0.08,3.4,0.28,3.7,0.9,,0.33,,0.9,,1.0,0.5,,,,0.9,1.2,4.0,1.0
Igor Silva,Lorient,DEF,1.1,37.0,,,,0.4,7.0,,3.5,0.7,0.07,0.2,0.02,0.4,0.8,,0.1,,1.2,,,0.2,,,,0.1,0.3,1.0,1.0
Ilan Kebbal,Paris FC,ATT,3.3,51.3,4.0,6.0,3.0,,42.0,,0.3,4.3,0.23,5.2,0.28,7.5,0.5,,0.43,,0.3,,1.0,0.8,,,,0.8,1.2,8.0,3.0
Ilya Zabarnyi,Paris Saint-Germain,DEF,1.9,75.8,,,,0.3,4.0,,3.6,0.3,0.02,0.3,0.02,0.5,0.8,,0.07,,0.7,1.0,,0.1,,,,0.1,0.2,1.0,3.0
Isak Jansson,Nice,ATT,0.2,14.7,,1.0,2.0,,6.0,,0.3,1.0,0.17,1.5,0.26,3.2,1.0,,0.17,,0.9,,,0.9,,,,1.6,0.5,1.0,2.0
Ismael Guerti,Metz,ATT,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Ismaël Doukouré,Strasbourg,DEF,1.4,56.3,1.0,2.0,2.0,0.5,5.0,,2.2,0.4,0.03,0.4,0.03,0.1,0.7,,,,1.1,,,0.2,1.0,,,0.1,0.4,,3.0
Issa Soumaré,Le Havre,ATT,0.9,15.5,2.0,6.0,12.0,0.2,17.0,,1.2,2.2,0.12,9.1,0.49,4.8,1.8,,0.16,,0.4,,2.0,0.6,,,,0.7,1.0,3.0,1.0
Jacques Ekomié,Angers,DEF,0.5,26.8,,1.0,4.0,0.3,10.0,,2.3,0.8,0.06,0.8,0.06,1.0,1.2,,,,1.5,1.0,,0.1,,,,0.2,0.5,,2.0
Jaydee Canvot,Toulouse,DEF,,,,,,,,,,0.0,,0.1,,,,,,,,,,,,,,,,,1.0
Jean-Philippe Gbamin,Metz,DEF,4.7,61.4,1.0,2.0,1.0,0.5,9.0,,3.5,0.3,0.02,1.5,0.09,1.0,0.6,,0.06,,0.8,,,,1.0,,,0.2,0.8,1.0,
Jean-Philippe Krasso,Paris FC,ATT,0.4,13.8,2.0,4.0,5.0,0.1,17.0,,0.6,2.2,0.21,2.7,0.26,3.0,1.5,,0.19,,0.1,,,0.5,,,,0.8,1.1,2.0,
Jean-Victor Makengo,Lorient,ATT,0.8,22.3,1.0,,,,12.0,,1.2,0.7,0.07,1.4,0.14,2.4,0.6,,0.2,,0.5,,,0.7,,,,0.9,1.1,2.0,
Jeffrey De Lange,Marseille,GK,,,,,,,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,
Jeremie Boga,Nice,ATT,0.6,23.0,2.0,2.0,2.0,,13.0,,0.3,0.6,0.08,1.6,0.22,2.1,0.3,,0.28,,0.4,,,0.7,,,,0.7,1.8,2.0,
Jessy Deminguet,Metz,MID,2.8,36.6,,,,0.2,2.0,,0.9,0.3,0.03,0.2,0.02,0.2,1.1,,0.08,,0.8,,1.0,0.2,,,,0.2,0.6,1.0,4.0
Jim Allevinah,Angers,ATT,,,,,,,1.0,,,0.0,,1.0,,0.8,,,,,,,,,,,,,,1.0,
Joao Neves,Paris Saint-Germain,MID,2.5,67.1,1.0,2.0,,0.4,9.0,,0.2,1.1,0.13,1.7,0.19,3.3,1.0,,0.55,,0.6,,1.0,0.7,,,,0.6,0.3,5.0,
Joaquin Panichelli,Strasbourg,ATT,0.2,14.6,1.0,5.0,11.0,0.4,22.0,,1.2,1.2,0.07,10.9,0.59,10.7,1.7,,0.59,,0.5,,,0.8,,,,1.2,0.5,11.0,2.0
Joel Asoro,Metz,ATT,,,,,1.0,,1.0,,,0.2,,0.7,,0.1,,,,,,,,,,,,,,,
Joel Mvuka,Lorient,MID,0.3,18.9,,2.0,1.0,,4.0,,2.1,0.7,0.11,0.5,0.08,0.0,0.6,,,,1.1,,,0.3,,,,0.2,1.0,,
Johann Lepenant,Nantes,MID,2.2,30.2,1.0,2.0,,0.2,13.0,,1.0,1.0,0.08,0.3,0.03,0.3,1.1,,,,0.8,,,0.7,,,,0.2,0.5,,2.0
Jonathan Clauss,Nice,MID,2.1,39.4,4.0,6.0,1.0,0.3,37.0,,2.7,3.8,0.24,0.7,0.04,0.4,0.8,,0.06,,1.5,,,0.5,,,,0.1,1.3,1.0,
Jonathan Fischer,Metz,GK,,30.6,,,,,1.0,3.0,1.1,0.0,0.0,,,,,2.2,,-0.5,,,,,,64.4,4.0,,,,
Jonathan Gradit,Lens,DEF,1.6,48.2,,,,1.0,2.0,,5.7,0.2,0.02,0.1,0.01,,1.7,,,,1.8,1.0,,0.2,1.0,,,,0.3,,2.0
Jonathan Ikoné,Paris FC,ATT,0.3,22.8,,1.0,,,4.0,,0.8,0.4,0.1,0.7,0.18,0.9,1.9,,0.27,,,,,0.3,,,,0.5,1.9,1.0,1.0
Jonathan Rowe,Marseille,ATT,,,,,1.0,,,,,0.0,,0.2,,,,,,,,,,,,,,,,,
Jordan Lefort,Angers,DEF,3.3,49.5,1.0,2.0,,0.5,5.0,,5.5,0.8,0.04,0.3,0.01,0.2,0.6,,,,1.4,,,0.1,,,,0.1,0.1,,2.0
Jordan Teze,Monaco,DEF,2.5,42.9,,2.0,,0.3,18.0,,2.2,2.3,0.15,0.2,0.02,0.2,1.5,,,,1.1,,,0.4,,,,0.1,0.1,,6.0
Joris Chotard,Brest,MID,2.4,31.1,,,2.0,0.3,3.0,,2.6,0.7,0.04,1.2,0.07,0.9,1.1,,0.11,,1.3,,,0.2,,,,0.4,0.2,2.0,1.0
Joseph Nduquidi,Metz,MID,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Josué Casimir,Auxerre,ATT,0.9,22.4,,,3.0,,5.0,,0.8,0.9,0.08,2.2,0.19,0.9,2.1,,,,0.6,,,0.4,1.0,,,0.6,0.5,,2.0
Julian Vignolo,Toulouse,ATT,,,,,,,3.0,,,0.1,,0.1,,0.5,,,,,,,,,,,,,,1.0,
Julien Le Cardinal,Brest,DEF,,,,,,,1.0,,,0.1,,0.8,,1.0,,,,,,,,,,,,,,1.0,1.0
Julien Lopez,Paris FC,ATT,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,
Julio Enciso,Strasbourg,ATT,0.6,27.8,2.0,2.0,6.0,,9.0,,0.7,2.0,0.19,3.6,0.35,2.8,0.5,,0.1,,0.2,,,0.9,,,,1.1,2.6,1.0,1.0
Juma Bah,Nice,DEF,2.2,55.4,,1.0,2.0,1.2,3.0,,6.9,0.6,0.05,0.6,0.04,0.2,1.5,,,,1.1,1.0,,0.2,,,,0.1,0.5,,5.0
Junior Mwanga,Nantes,MID,2.2,36.1,1.0,2.0,1.0,0.4,15.0,,1.3,1.1,0.07,1.2,0.08,0.9,1.2,,0.06,,0.7,,,0.2,1.0,,,0.2,0.9,1.0,2.0
Justin Bourgault,Brest,DEF,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Justin-Noel Kalumba,Angers,ATT,,,,,,,4.0,,,0.4,,0.0,,,,,,,,,,,,,,,,,
Jérémy Jacquet,Rennes,DEF,2.9,53.0,,,,0.8,9.0,,4.8,0.5,0.03,1.0,0.06,0.6,1.1,,,,1.0,1.0,,,1.0,,,0.2,0.2,,4.0
Kail Boudache,Nice,Code_3,,,,,,,,,,0.0,,0.1,,0.2,,,,,,,,,,,,,,,
Kamory Doumbia,Brest,ATT,1.6,27.2,2.0,6.0,1.0,,14.0,,0.3,1.5,0.12,3.3,0.26,4.8,1.8,,0.4,,0.7,,,1.3,,,,0.8,0.6,5.0,5.0
Kang-In Lee,Paris Saint-Germain,MID,3.7,56.6,2.0,6.0,,0.1,28.0,,0.5,2.5,0.25,1.6,0.17,1.5,1.2,,0.1,,0.2,1.0,,0.6,,,,0.9,1.2,1.0,2.0
Karl-Johan Johnsson,Strasbourg,GK,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,
Kassoum Ouattara,Monaco,MID,0.9,25.7,3.0,5.0,1.0,,17.0,,1.7,2.2,0.2,0.9,0.09,,2.1,,,,1.4,1.0,,0.5,,,,,0.8,,3.0
Kelvin Amian,Nantes,DEF,1.3,29.8,1.0,3.0,,0.5,6.0,,3.3,0.9,0.05,0.4,0.02,0.5,1.0,,,,0.3,1.0,,0.2,,,,0.1,0.2,,2.0
Kendry Paez,Strasbourg,ATT,0.4,26.4,,1.0,1.0,,6.0,,1.3,1.0,0.22,0.8,0.18,1.5,1.5,,0.21,,0.6,,,0.4,,,,0.9,1.3,1.0,
Kenny Lala,Brest,DEF,4.7,31.3,1.0,4.0,,0.4,16.0,,2.5,2.7,0.14,0.2,0.01,,0.5,,,,0.8,1.0,,0.1,,,,,0.3,,3.0
Kenny Quetant,Le Havre,ATT,,,,,1.0,,1.0,,,0.1,,0.5,,0.6,,,,,,,,,,,,,,1.0,1.0
Kevin Carlos,Nice,ATT,0.2,9.5,,,6.0,0.2,1.0,,0.8,0.1,0.01,1.3,0.2,1.3,3.0,,,,0.2,,1.0,0.2,,,,1.1,0.3,,1.0
Kevin Trapp,Paris FC,GK,,,,,,,,3.0,,0.0,,,,,,,,,,,,,,,,,,,
Khalis Merah,Lyon,ATT,0.9,32.0,1.0,2.0,3.0,,8.0,,0.4,0.8,0.1,0.6,0.09,1.1,1.3,,,,0.3,,,0.5,,,,0.4,0.9,,2.0
Khvicha Kvaratskhelia,Paris Saint-Germain,ATT,1.1,44.4,3.0,6.0,2.0,0.2,20.0,,0.4,3.3,0.36,2.5,0.27,4.7,1.3,,0.32,,0.6,,,0.8,,,,1.6,2.5,3.0,1.0
Koffi Kouao,Metz,DEF,2.6,36.2,1.0,1.0,,0.4,8.0,,2.7,1.0,0.06,1.3,0.08,1.7,1.2,,0.06,,1.1,1.0,1.0,0.3,,,,0.4,1.0,1.0,6.0
Kojo Peprah Oppong,Nice,DEF,1.3,51.4,,1.0,1.0,0.7,6.0,,5.4,0.3,0.02,1.1,0.06,0.8,1.3,,0.06,,1.0,1.0,,,,,,0.1,0.7,1.0,3.0
Krepin Diatta,Monaco,DEF,1.4,30.0,1.0,3.0,,0.2,11.0,,2.2,1.8,0.23,0.6,0.08,0.6,0.6,,,,1.7,1.0,,0.2,,,,0.1,0.5,,1.0
Kyllian Antonio,Lens,DEF,,,,,,,,,,0.0,,0.1,,,,,,,,,,,,,,,,,1.0
Kévin Danois,Auxerre,MID,2.7,39.6,1.0,5.0,1.0,0.1,29.0,,0.3,2.5,0.14,1.4,0.08,0.9,1.0,,0.06,,1.2,,,0.5,,,,0.3,1.1,1.0,3.0
Lamine Camara,Monaco,MID,2.4,47.2,3.0,5.0,,0.1,16.0,,0.7,1.5,0.17,0.4,0.05,,1.4,,,,2.4,,,1.4,,,,,1.4,,2.0
Lamine Sy,Auxerre,DEF,1.2,27.4,,2.0,,0.7,9.0,,1.6,0.6,0.07,0.2,0.02,,1.0,,,,1.4,,1.0,0.6,,,,,0.8,,
Lanroy Machine,Angers,ATT,0.5,19.8,,,2.0,,,,0.5,0.0,0.01,1.0,0.53,0.9,2.5,,,,,,,1.0,,,,1.0,0.5,,
Lassine Sinayoko,Auxerre,ATT,0.4,17.9,2.0,5.0,4.0,,21.0,,0.4,2.1,0.11,6.5,0.36,7.1,0.8,,0.33,,0.9,,1.0,0.9,,,,1.1,1.4,6.0,3.0
Lasso Coulibaly,Auxerre,MID,1.2,24.3,,,,0.4,3.0,,,0.3,0.13,0.2,0.06,0.1,3.1,,,,1.5,,,0.4,,,,0.4,4.6,,1.0
Laurent Abergel,Lorient,MID,4.2,54.0,,2.0,1.0,0.1,13.0,,1.8,0.8,0.04,0.7,0.04,1.1,1.1,,0.05,,1.0,1.0,,0.4,,,,0.3,0.4,1.0,6.0
Leonardo Balerdi,Marseille,DEF,3.6,72.8,1.0,,2.0,0.5,4.0,,4.3,0.2,0.02,1.1,0.09,0.9,0.8,,,,1.2,,,0.3,,,,0.2,0.4,,3.0
Lilian Brassier,Rennes,DEF,1.7,50.5,1.0,,1.0,1.0,6.0,,2.5,0.8,0.06,0.6,0.05,,0.9,,,,1.3,,,0.1,,,,,0.4,,1.0
Lilian Rao-Lisoa,Angers,DEF,1.3,25.0,1.0,3.0,,0.1,10.0,,2.3,1.1,0.12,0.5,0.05,1.1,1.2,,0.11,,0.8,,,0.4,,,,0.4,0.8,1.0,1.0
Lionel Mpasi-Nzau,Le Havre,GK,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,1.0
Lohann Doucet,Paris FC,MID,,,,,,,3.0,,,0.1,,0.3,,0.9,,,,,,,,,,,,,,1.0,2.0
Loic Nego,Le Havre,DEF,1.8,30.0,,2.0,1.0,0.2,10.0,,3.5,1.0,0.06,0.4,0.02,0.7,0.7,,,,1.4,1.0,,0.2,,,,0.1,0.7,,2.0
Louis Leroux,Nantes,MID,1.4,23.9,1.0,,1.0,0.2,12.0,,2.6,0.7,0.06,1.2,0.11,1.6,0.8,,0.09,,0.3,,,0.1,,,,0.3,0.7,1.0,1.0
Louis Mouton,Angers,ATT,1.3,25.4,1.0,4.0,1.0,0.2,16.0,,0.8,2.0,0.14,2.3,0.15,2.3,1.1,,0.14,,0.5,,,0.3,1.0,,,0.5,0.4,2.0,1.0
Luca Koleosho,Paris FC,ATT,,,,,,,1.0,,,0.0,,0.6,,1.4,,,,,,,,,,,,,,1.0,
Lucas Beraldo,Paris Saint-Germain,DEF,2.9,89.5,,,,0.7,1.0,,5.6,0.4,0.05,0.4,0.05,0.8,1.0,,0.12,,1.0,,,0.1,,,,0.1,,1.0,1.0
Lucas Chevalier,Paris Saint-Germain,GK,,20.6,,,,,,9.0,0.5,0.0,0.0,,,,,0.8,,-0.6,,,,,,71.7,1.9,,,,
Lucas Gourna-Douath,Le Havre,MID,,,,,,,1.0,,,0.0,,0.1,,,,,,,,,,,,,,,,,1.0
Lucas Hernández,Paris Saint-Germain,DEF,1.7,74.0,1.0,,,0.6,8.0,,2.5,0.3,0.03,0.2,0.01,0.0,1.3,,,,1.0,,,0.3,,,,0.1,0.3,,2.0
Lucas Høgsberg,Strasbourg,DEF,2.2,60.8,,,,0.8,1.0,,3.2,0.5,0.04,0.1,0.01,,1.1,,,,0.7,,,,1.0,,,0.1,0.1,,1.0
Lucas Michal,Monaco,ATT,,,,,,,,,,0.0,,0.1,,,,,,,,,,,,,,,,,
Lucas Tousart,Brest,MID,1.5,22.4,,2.0,,,4.0,,2.2,0.3,0.07,0.2,0.05,0.2,2.4,,,,1.5,,1.0,0.4,,,,0.4,0.4,,
Luck Zogbe,Brest,DEF,,,,,,,1.0,,,0.3,,0.0,,,,,,,,,,,,,,,,,
Ludovic Ajorque,Brest,ATT,1.4,17.1,6.0,2.0,6.0,0.1,25.0,,1.3,1.5,0.08,5.4,0.3,4.0,2.1,,0.11,,0.4,,1.0,0.8,1.0,,,0.5,0.5,2.0,5.0
Ludovic Blas,Rennes,MID,1.6,34.8,2.0,5.0,1.0,0.1,22.0,,0.6,2.7,0.31,3.4,0.39,3.0,1.2,,0.35,,0.9,,,0.9,,,,0.9,1.5,3.0,
Lukas Hradecky,Monaco,GK,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,
Maghnes Akliouche,Monaco,ATT,1.8,34.7,2.0,7.0,3.0,0.1,24.0,,0.6,3.4,0.2,4.7,0.28,4.5,0.9,,0.24,,0.8,,,1.2,,,,0.6,0.8,4.0,2.0
Mahamadou Nagida,Rennes,DEF,,,,,1.0,,1.0,,,0.2,,0.3,,0.0,,,,,,1.0,,,,,,,,,1.0
Mahdi Camara,Rennes,MID,0.4,34.0,1.0,3.0,,0.1,15.0,,1.3,1.7,0.11,1.1,0.07,1.4,1.5,,0.06,,1.3,,1.0,0.5,1.0,,,0.3,0.8,1.0,3.0
Malang Sarr,Lens,DEF,3.9,50.3,1.0,1.0,2.0,0.6,1.0,,4.4,0.3,0.02,0.9,0.05,1.2,0.7,,,,2.5,,,0.2,,,,0.2,0.2,,2.0
Malick Fofana,Lyon,ATT,,,1.0,3.0,4.0,,9.0,,,1.8,,2.7,,3.2,,,,,,,,,,,,,,2.0,1.0
Malick Mbaye,Metz,ATT,,,,,,,2.0,,,0.2,,0.1,,0.1,,,,,,,,,,,,,,,1.0
Mama Baldé,Brest,ATT,0.4,13.2,2.0,,2.0,,6.0,,0.7,0.5,0.08,2.6,0.37,1.5,1.6,,0.28,,0.6,,,1.8,,,,0.7,0.7,2.0,
Mamadou Coulibaly,Monaco,MID,2.6,42.7,1.0,1.0,1.0,0.1,8.0,,1.3,1.3,0.14,1.3,0.14,1.8,2.2,,0.33,,1.3,,,0.5,1.0,,,0.4,0.9,3.0,4.0
Mamadou Mbow,Paris FC,DEF,4.1,55.1,1.0,1.0,1.0,0.7,4.0,,4.8,0.4,0.02,0.5,0.03,0.4,0.8,,,,1.3,3.0,,0.2,,,,0.1,0.3,,2.0
Mamadou Sangare,Lens,MID,2.7,46.2,2.0,2.0,2.0,0.2,18.0,,1.2,1.2,0.07,2.2,0.14,1.6,1.5,,0.06,,1.4,1.0,,1.1,,,,0.4,1.3,1.0,3.0
Mamadou Sarr,Strasbourg,DEF,2.1,64.3,,,,0.2,1.0,,4.5,0.1,0.01,0.1,0.0,,1.1,,,,0.6,,,,,,,,0.3,,3.0
Mario Sauer,Toulouse,MID,1.1,24.8,,,,0.2,2.0,,1.6,0.3,0.06,0.3,0.04,0.1,1.1,,,,1.4,,,1.1,,,,0.2,0.4,,2.0
Marius Broholm,Lille,ATT,0.4,30.9,1.0,,,,7.0,,0.7,0.4,0.13,1.0,0.34,1.4,1.4,,0.35,,0.7,,,0.7,,,,1.1,1.1,1.0,
Marius Courcoul,Angers,MID,1.1,31.2,,,,0.6,3.0,,2.2,0.1,0.03,0.1,0.02,0.1,1.4,,,,0.6,1.0,,,,,,0.3,0.3,,
Marius Louar,Angers,Code_1,,,,,,,1.0,,,0.1,,,,,,,,,,,,,,,,,,,
Mark McKenzie,Toulouse,DEF,1.5,34.5,2.0,1.0,,0.6,10.0,,4.1,0.8,0.04,0.3,0.02,0.5,1.1,,,,0.8,,,0.1,,,,0.1,0.1,,4.0
Marquinhos,Paris Saint-Germain,DEF,4.6,79.3,,,,0.1,2.0,,3.5,0.3,0.04,0.1,0.01,,0.9,,,,0.5,1.0,,,,,,,0.1,,
Marshall Munetsi,Paris FC,ATT,,,,,1.0,,,,,0.0,,0.2,,,,,,,,,1.0,,,,,,,,
Martial Godo,Strasbourg,ATT,0.3,20.7,,,3.0,,5.0,,0.9,0.6,0.08,4.3,0.62,4.7,1.1,,0.71,,1.0,1.0,1.0,1.4,,,,1.4,1.1,5.0,2.0
Martin Satriano,Lyon,ATT,0.5,17.0,1.0,2.0,3.0,,9.0,,0.4,0.7,0.09,1.8,0.23,2.7,1.4,,0.26,,0.8,,,0.5,,,,0.9,0.6,2.0,1.0
Marvin Senaya,Auxerre,DEF,2.0,26.8,,,2.0,0.4,4.0,,3.7,0.4,0.02,0.7,0.05,0.4,1.2,,,,1.6,,,0.2,,,,0.2,0.2,,4.0
