ParticipantName,TeamName,Position,Accurate long balls per 90,Accurate passes per 90,Assists,Big chances created,Big chances missed,Blocks per 90,Chances created,Clean sheets,Clearances per 90,Expected assist (xA),Expected assist (xA) per 90,Expected goals (xG),Expected goals (xG) per 90,Expected goals on target (xGOT),Fouls committed per 90,Goals conceded per 90,Goals per 90,Goals prevented,Interceptions per 90,Penalties conceded,Penalties won,Possession won final 3rd per 90,Red cards,Save percentage,Saves per 90,Shots on target per 90,Successful dribbles per 90,Top scorer,Yellow cards
Alex Forés,Real Oviedo,ATT,,11.4,1.0,,2.0,,1.0,,,0.0,0.01,1.2,0.39,0.3,0.7,,,,0.3,,,0.3,,,,0.7,1.0,,
Alex Remiro,Real Sociedad,GK,,23.8,,,,,3.0,1.0,1.2,0.1,0.0,,,,,1.4,,-3.2,0.0,,,,,63.4,2.4,,0.0,,
Alex Sanchez,Elche,Code_2,,,1.0,,,,1.0,,,0.1,,,,,,,,,,,,,,,,,,,
Alex Sancris,Getafe,ATT,0.7,16.5,1.0,1.0,,,7.0,,0.4,1.0,0.14,0.3,0.05,0.3,1.9,,,,0.3,,,1.0,1.0,,,0.6,0.6,,1.0
Alexander Sørloth,Atlético de Madrid,ATT,0.2,14.1,,1.0,8.0,0.2,8.0,,1.1,0.7,0.05,5.3,0.44,7.9,1.7,,0.58,,,1.0,,0.2,1.0,,,1.7,0.7,7.0,3.0
Alexandre Zurawski,Rayo Vallecano,ATT,0.3,9.6,,,2.0,0.3,4.0,,1.1,0.2,0.02,1.7,0.25,1.2,1.9,,0.14,,0.1,,,0.1,,,,0.9,0.4,1.0,1.0
Alexis Sánchez,Sevilla,ATT,0.7,24.2,1.0,1.0,3.0,,16.0,,0.2,1.2,0.15,2.1,0.25,1.9,0.8,,0.24,,0.5,,,0.6,,,,0.7,0.4,2.0,1.0
Alfon González,Sevilla,ATT,,,,,1.0,,6.0,,,0.2,,0.7,,2.2,,,,,,,,,,,,,,1.0,
Alfonso Espino,Rayo Vallecano,DEF,2.1,29.5,,3.0,2.0,,5.0,,1.3,1.2,0.19,1.1,0.18,0.7,1.8,,0.16,,0.3,1.0,,0.3,,,,0.7,0.7,1.0,1.0
Alfonso Pedraza,Villarreal,DEF,2.1,25.1,2.0,4.0,,0.6,12.0,,2.0,1.8,0.16,0.5,0.04,0.3,1.8,,0.09,,1.1,1.0,,,,,,0.1,1.3,1.0,5.0
Ali Houary,Elche,MID,,,,,,,,,,0.0,,0.1,,,,,,,,,,,,,,,,,
Allan Nyom,Getafe,DEF,,,,,,,2.0,,,0.1,,0.2,,0.4,,,,,,,,,1.0,,,,,,4.0
Alvaro Carreras,Real Madrid,DEF,1.7,59.8,1.0,1.0,,0.2,18.0,,2.5,1.1,0.06,0.2,0.01,0.5,0.7,,0.06,,1.6,,1.0,0.3,1.0,,,0.1,0.7,1.0,3.0
Alvaro Nunez,Elche,DEF,2.1,49.3,2.0,6.0,,0.3,20.0,,1.8,2.7,0.15,0.2,0.01,,0.7,,,,0.9,1.0,,0.3,,,,,0.8,,2.0
Ander Barrenetxea,Real Sociedad,ATT,1.7,28.2,3.0,8.0,4.0,0.2,29.0,,0.7,3.0,0.25,1.9,0.16,1.8,1.8,,0.25,,0.8,,,0.7,,,,0.6,2.9,3.0,2.0
Ander Guevara,Alavés,MID,2.4,45.5,,,,0.2,2.0,,4.6,0.2,0.04,0.2,0.04,0.1,1.8,,0.2,,1.0,,,0.2,,,,0.2,1.0,1.0,2.0
Andoni Gorosabel,Athletic Club,DEF,0.7,33.8,1.0,,,,6.0,,3.4,0.4,0.08,0.2,0.04,0.2,0.9,,,,0.4,,,,,,,0.2,0.4,,2.0
Andreas Christensen,Barcelona,DEF,0.5,75.3,,,,0.7,1.0,,4.6,0.1,0.03,0.1,0.02,,1.0,,,,0.5,,,,,,,,,,1.0
Andrei Ratiu,Rayo Vallecano,DEF,1.0,35.5,1.0,5.0,3.0,0.1,20.0,,2.7,1.9,0.1,1.8,0.1,1.3,0.7,,,,1.4,,,0.3,,,,0.4,1.8,,6.0
Andriy Lunin,Real Madrid,GK,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
André Almeida,Valencia CF,ATT,3.2,45.1,1.0,2.0,1.0,0.1,11.0,,0.4,1.2,0.13,0.6,0.06,0.4,1.0,,,,0.9,,1.0,0.3,,,,0.2,1.1,,
André Silva,Elche,ATT,0.2,20.7,,1.0,2.0,0.1,15.0,,1.0,0.7,0.08,4.1,0.43,3.3,1.4,,0.42,,0.2,,,0.5,,,,0.8,1.2,4.0,1.0
Andrés Lopez,Sevilla,DEF,,,,,,,1.0,,,0.1,,0.2,,0.1,,,,,,,,,,,,,,,3.0
Angel Ortiz,Real Betis,DEF,,,,1.0,,,4.0,,,0.6,,0.0,,,,,,,,,,,,,,,,,1.0
Ante Budimir,Osasuna,ATT,0.2,7.8,,1.0,4.0,0.2,8.0,,1.1,0.8,0.04,8.8,0.48,10.4,2.0,,0.55,,0.2,,1.0,0.4,,,,1.2,0.2,10.0,
Antoine Griezmann,Atlético de Madrid,ATT,2.3,39.3,,1.0,5.0,0.1,12.0,,0.9,1.3,0.16,4.8,0.6,6.0,,,0.75,,0.3,,,0.4,,,,1.8,0.4,6.0,
